Disease1	Disease2	weight	comorbid	colors	pathway
A71	B19	0.622224087989589	no	#4A74A9	Autophagy
A71	C73	0.467201283079391	no	#4A74A9	Autophagy
A71	K58	0.60745044429255	no	#4A74A9	Autophagy
A71	Q98	0.524358974358974	no	#4A74A9	Autophagy
A90	R65	0.476447603029881	no	#4A74A9	Autophagy
B19	B44	0.651393728222997	no	#4A74A9	Autophagy
B19	D86	0.642168381816709	no	#4A74A9	Autophagy
C11	C34	0.413848287634695	no	#4A74A9	Autophagy
C14	C73	0.48725210417946	no	#4A74A9	Autophagy
C14	K12	0.512417623102555	no	#4A74A9	Autophagy
C14	K13	0.754914139568871	no	#4A74A9	Autophagy
C15	C34	0.64239644147901	no	#4A74A9	Autophagy
C15	L40	0.461282194848824	no	#4A74A9	Autophagy
C18	C34	0.407943147731534	no	#4A74A9	Autophagy
C18	M47	-0.541385052404741	no	#B64539	Autophagy
C22	C34	0.412911518960223	no	#4A74A9	Autophagy
C22	K70	0.436567509962005	yes	#4A74A9	Autophagy
C49	C71	0.741861727971648	no	#4A74A9	Autophagy
C67	D82	0.502451481103167	no	#4A74A9	Autophagy
C67	R65	0.508340649692713	no	#4A74A9	Autophagy
C71	G30	0.436070360347529	no	#4A74A9	Autophagy
C73	K13	0.495647226173542	no	#4A74A9	Autophagy
C73	K70	0.477635737534789	no	#4A74A9	Autophagy
C73	L40	0.420389450084389	no	#4A74A9	Autophagy
C73	L70	0.489994167820952	no	#4A74A9	Autophagy
C92	G20	0.824561403508772	no	#4A74A9	Autophagy
C93	D82	-0.695011916922029	no	#B64539	Autophagy
C93	R65	-0.505553525758129	no	#B64539	Autophagy
D45	D47	0.816822712171549	yes	#4A74A9	Autophagy
D45	D75	0.90261516577306	yes	#4A74A9	Autophagy
D45	D82	0.476270106704889	no	#4A74A9	Autophagy
D45	M47	0.723037323037323	no	#4A74A9	Autophagy
D45	R65	0.5051001629949	no	#4A74A9	Autophagy
D75	N19	0.584897959183673	no	#4A74A9	Autophagy
D82	D86	0.597003745318352	no	#4A74A9	Autophagy
D82	F84	-0.596918624446714	no	#B64539	Autophagy
D82	I21	0.580418213797147	no	#4A74A9	Autophagy
D82	M47	0.709856996935649	no	#4A74A9	Autophagy
D82	R65	0.603190013869625	no	#4A74A9	Autophagy
D86	R65	0.616729188283183	no	#4A74A9	Autophagy
F20	G30	0.71028971028971	no	#4A74A9	Autophagy
G20	G30	0.714861162532395	no	#4A74A9	Autophagy
I21	R65	0.73977534562212	no	#4A74A9	Autophagy
K50	L40	0.492124291577096	no	#4A74A9	Autophagy
L40	L70	0.628103303176941	no	#4A74A9	Autophagy
L40	L71	0.601632653061224	yes	#4A74A9	Autophagy
M47	R65	0.758520233059302	no	#4A74A9	Autophagy
A71	B19	0.480394096109989	no	#4A74A9	Cell Cycle
A71	B44	0.456849163179539	no	#4A74A9	Cell Cycle
A71	C11	0.295971137920084	no	#4A74A9	Cell Cycle
A71	C14	0.477668531696453	no	#4A74A9	Cell Cycle
A71	C15	0.501208623556613	no	#4A74A9	Cell Cycle
A71	C16	0.313934944607214	no	#4A74A9	Cell Cycle
A71	C22	0.270545174008205	no	#4A74A9	Cell Cycle
A71	C25	0.263328103940784	no	#4A74A9	Cell Cycle
