Disease1	Disease2	weight	comorbid	colors	pathway
A71	C73	0.214191711502834	no	#4A74A9	Autophagy
A71	C92	0.0155591538384988	no	#4A74A9	Autophagy
A71	N02	0.0036415826335098	no	#4A74A9	Autophagy
A90	C74	0.0201313630695916	no	#4A74A9	Autophagy
A90	F17	0.00708116467369446	no	#4A74A9	Autophagy
B19	I42	-0.0406382168077853	no	#B64539	Autophagy
C11	C16	0.0262868883244108	no	#4A74A9	Autophagy
C11	C34	0.0640886313114106	no	#4A74A9	Autophagy
C11	C73	0.000978498878763676	no	#4A74A9	Autophagy
C11	I63	-0.0559050904807888	no	#B64539	Autophagy
C11	K13	-0.0139671320638014	no	#B64539	Autophagy
C11	L70	-0.012842468076815	no	#B64539	Autophagy
C11	Q98	5.363534231684e-17	no	#4A74A9	Autophagy
C14	C73	0.275193512885356	no	#4A74A9	Autophagy
C14	C92	0.0168148446291426	no	#4A74A9	Autophagy
C14	D46	0.0489772671659952	no	#4A74A9	Autophagy
C14	G20	1.340883557921e-17	no	#4A74A9	Autophagy
C14	K13	0.235334651008947	no	#4A74A9	Autophagy
C14	N02	0.0144899711087887	no	#4A74A9	Autophagy
C15	C34	0.294959033423269	no	#4A74A9	Autophagy
C16	C18	0.212410021315803	no	#4A74A9	Autophagy
C16	C25	0.230527422400625	no	#4A74A9	Autophagy
C16	C64	0.167146413437435	no	#4A74A9	Autophagy
C18	C34	0.410767758457825	no	#4A74A9	Autophagy
C18	C92	-0.0373040438052769	no	#B64539	Autophagy
C22	C34	0.3513669299014	no	#4A74A9	Autophagy
C22	K70	0.263772555755898	yes	#4A74A9	Autophagy
C25	C64	0.247902922622006	no	#4A74A9	Autophagy
C25	C73	0.243736399159557	no	#4A74A9	Autophagy
C34	C38	0.428400653661376	yes	#4A74A9	Autophagy
C34	C73	0.295249229693831	no	#4A74A9	Autophagy
C34	L40	0.335240880286682	no	#4A74A9	Autophagy
C38	J84	0.0652074367195881	no	#4A74A9	Autophagy
C49	C61	-5.363534231684e-17	no	#B64539	Autophagy
C49	C64	0.478022514319508	no	#4A74A9	Autophagy
C49	C71	1	no	#4A74A9	Autophagy
C61	C64	-0.00873170712561411	no	#B64539	Autophagy
C61	D82	-0.00515319642997688	no	#B64539	Autophagy
C64	C73	0.35058199498718	no	#4A74A9	Autophagy
C71	G30	0.305138071506267	no	#4A74A9	Autophagy
C71	N02	-0.0245874022063098	no	#B64539	Autophagy
C73	D75	-0.0335886941739712	no	#B64539	Autophagy
C73	K13	0.215747380196229	no	#4A74A9	Autophagy
C73	K70	0.359682133513462	no	#4A74A9	Autophagy
C73	L40	0.322121754241832	no	#4A74A9	Autophagy
C73	L70	0.250168762615412	no	#4A74A9	Autophagy
C74	G71	-0.111439355354635	no	#B64539	Autophagy
C82	F20	1.340883557921e-17	no	#4A74A9	Autophagy
C82	I48	0.00608577137065206	no	#4A74A9	Autophagy
C82	N02	3.83248468305933e-05	no	#4A74A9	Autophagy
C84	D46	0.0859114551482011	no	#4A74A9	Autophagy
C92	G30	0.00174662470445701	no	#4A74A9	Autophagy
C92	K12	0.0507789482690745	yes	#4A74A9	Autophagy
C92	L71	0.033161154989202	no	#4A74A9	Autophagy
D45	D47	0.122533008101283	yes	#4A74A9	Autophagy
D45	N02	-0.030363951960874	no	#B64539	Autophagy
D45	R65	0.208811542754105	no	#4A74A9	Autophagy
D46	L70	-0.0230415891644556	no	#B64539	Autophagy
D46	N19	0.0188604830230521	no	#4A74A9	Autophagy
D47	G71	0.0525219611327975	no	#4A74A9	Autophagy
D47	L70	-0.0195829949197203	no	#B64539	Autophagy
D75	L70	-0.0519130774472906	no	#B64539	Autophagy
D75	L71	-0.0102245463993873	no	#B64539	Autophagy
D82	R65	0.528057938104331	no	#4A74A9	Autophagy
F17	I42	-0.0213084820929032	no	#B64539	Autophagy
F17	Q98	0.0290244582050528	no	#4A74A9	Autophagy
F20	G30	0.0367249786217193	no	#4A74A9	Autophagy
F20	I42	-0.00251447469452487	no	#B64539	Autophagy
F20	L71	0.0108853439387731	no	#4A74A9	Autophagy
G20	N19	0.000428243366156314	no	#4A74A9	Autophagy
G30	N02	0.00622678110352253	no	#4A74A9	Autophagy
I63	J84	-0.0596049028232583	no	#B64539	Autophagy
J84	K13	-0.00208869337010377	no	#B64539	Autophagy
L40	L70	0.338853871175396	no	#4A74A9	Autophagy
L40	L71	0.33806514355166	yes	#4A74A9	Autophagy
A71	B19	0.121458177492309	no	#4A74A9	Cell Cycle
