Disease1	Disease2	weight	comorbid	colors	pathway
A71	B19	0.471653305371823	no	#4A74A9	Autophagy
A71	C73	0.445022379719463	no	#4A74A9	Autophagy
A71	K51	0.410125406699812	no	#4A74A9	Autophagy
A71	K58	0.518982545323677	no	#4A74A9	Autophagy
A90	C67	0.408741042517317	no	#4A74A9	Autophagy
A90	C92	0.416800342904318	no	#4A74A9	Autophagy
A90	H31	0.511365641194996	no	#4A74A9	Autophagy
A90	K50	0.415836242348749	no	#4A74A9	Autophagy
A90	M33	0.490108514816837	no	#4A74A9	Autophagy
A90	R65	0.40084205838869	no	#4A74A9	Autophagy
A90	T86	-0.463159688020616	no	#B64539	Autophagy
B17	D75	-0.508260210839954	no	#B64539	Autophagy
B17	I63	-0.441169095959039	no	#B64539	Autophagy
B17	Q87	-0.471714237590321	no	#B64539	Autophagy
B17	Q98	-0.40598832044712	no	#B64539	Autophagy
B19	B44	0.479060266753328	no	#4A74A9	Autophagy
B19	D86	0.419139495290183	no	#4A74A9	Autophagy
B19	M47	0.418959605469485	no	#4A74A9	Autophagy
B44	D47	0.4926050058498	no	#4A74A9	Autophagy
B44	G10	-0.467780972317325	no	#B64539	Autophagy
B44	G35	-0.444439546959519	no	#B64539	Autophagy
B44	I48	-0.54466747118327	no	#B64539	Autophagy
B44	J45	-0.515956118961207	no	#B64539	Autophagy
C14	C73	0.555197608528702	no	#4A74A9	Autophagy
C14	K12	0.41886979999145	no	#4A74A9	Autophagy
C14	K13	0.69693182323001	no	#4A74A9	Autophagy
C14	K50	0.404222368800593	no	#4A74A9	Autophagy
C15	C18	0.423971111377296	no	#4A74A9	Autophagy
C15	C34	0.564026201165959	no	#4A74A9	Autophagy
C15	K50	0.405838989104999	no	#4A74A9	Autophagy
C15	L40	0.437233319945004	no	#4A74A9	Autophagy
C16	C18	0.463333893796086	no	#4A74A9	Autophagy
C16	C25	0.393266813293922	no	#4A74A9	Autophagy
C16	D86	-0.390187137666667	no	#B64539	Autophagy
C18	D45	-0.403556253816119	no	#B64539	Autophagy
