Disease1	Disease2	weight	comorbid	colors	pathway
A71	B19	0.403807437276102	no	#4A74A9	Autophagy
A71	C38	0.375589381294012	no	#4A74A9	Autophagy
A71	C73	0.458923576029955	no	#4A74A9	Autophagy
A71	F20	0.441139726874062	no	#4A74A9	Autophagy
A71	K51	0.415712103396321	no	#4A74A9	Autophagy
A71	K58	0.466863208234737	no	#4A74A9	Autophagy
A71	L70	0.318540506928355	no	#4A74A9	Autophagy
A71	L71	0.359023881778766	no	#4A74A9	Autophagy
A71	Q98	0.255454320886883	no	#4A74A9	Autophagy
A90	C67	0.351455977406989	no	#4A74A9	Autophagy
A90	C92	0.3050261995887	no	#4A74A9	Autophagy
A90	H31	0.506823595723654	no	#4A74A9	Autophagy
A90	M33	0.516793668716792	no	#4A74A9	Autophagy
A90	R65	0.300161134130024	no	#4A74A9	Autophagy
B17	D75	-0.359053258075012	no	#B64539	Autophagy
B17	M47	-0.365999260967716	no	#B64539	Autophagy
B17	N19	-0.131354320079117	no	#B64539	Autophagy
B19	B44	0.459847842743321	no	#4A74A9	Autophagy
B19	D86	0.404689165799768	no	#4A74A9	Autophagy
B19	G71	0.344724196708485	no	#4A74A9	Autophagy
B19	M47	0.421990007826799	no	#4A74A9	Autophagy
B44	D47	0.521492277130996	no	#4A74A9	Autophagy
B44	F33	-0.321527317833202	no	#B64539	Autophagy
B44	G10	-0.412485888233518	no	#B64539	Autophagy
B44	G35	-0.411030294459149	no	#B64539	Autophagy
B44	G71	0.394051154353486	no	#4A74A9	Autophagy
B44	I48	-0.562738476714214	no	#B64539	Autophagy
B44	J45	-0.534574469184727	no	#B64539	Autophagy
C11	C73	-0.306582437555234	no	#B64539	Autophagy
C11	J32	0.360277801132342	no	#4A74A9	Autophagy
C11	M47	-0.383393688103536	no	#B64539	Autophagy
C14	C73	0.562715672391148	no	#4A74A9	Autophagy
C14	K12	0.422087948419345	no	#4A74A9	Autophagy
C14	K13	0.671522896718789	no	#4A74A9	Autophagy
C15	C18	0.418406563977343	no	#4A74A9	Autophagy
C15	C34	0.563049339170991	no	#4A74A9	Autophagy
C15	K50	0.379629688246454	no	#4A74A9	Autophagy
C15	L40	0.423800947434865	no	#4A74A9	Autophagy
C16	C18	0.436597529340666	no	#4A74A9	Autophagy
C16	C25	0.45198427095517	no	#4A74A9	Autophagy
C16	D86	-0.405328221268412	no	#B64539	Autophagy
C16	F31	0.36864509088067	no	#4A74A9	Autophagy
C18	D45	-0.401255880451367	no	#B64539	Autophagy
C18	D86	-0.385965190036355	no	#B64539	Autophagy
C18	M47	-0.411783305445294	no	#B64539	Autophagy
C22	C34	0.42724211589532	no	#4A74A9	Autophagy
C22	C74	0.375344727728513	no	#4A74A9	Autophagy
C22	J84	0.221483840669536	no	#4A74A9	Autophagy
C22	K70	0.531243131072328	yes	#4A74A9	Autophagy
C25	K50	0.39833314822279	no	#4A74A9	Autophagy
C34	C38	0.481413744915649	yes	#4A74A9	Autophagy
C34	K50	0.50282812534004	no	#4A74A9	Autophagy
C38	C73	0.387187096573162	no	#4A74A9	Autophagy
C38	C74	0.38670345809434	no	#4A74A9	Autophagy
C49	C64	0.334506109560388	no	#4A74A9	Autophagy
C49	C71	0.788494457804943	no	#4A74A9	Autophagy
C49	G20	0.510168876186687	no	#4A74A9	Autophagy
C49	G30	0.435612277532629	no	#4A74A9	Autophagy
C61	E11	0.40927798752768	no	#4A74A9	Autophagy
C61	F20	0.49441047293119	no	#4A74A9	Autophagy
C61	K51	0.379180926109922	no	#4A74A9	Autophagy
