Disease1	Disease2	weight	comorbid	colors	pathway
A71	C53	-0.378622841507269	no	#B64539	Autophagy
A71	C92	-0.450163918555335	no	#B64539	Autophagy
A71	F17	0.477249274750047	no	#4A74A9	Autophagy
A71	F20	0.427646569693065	no	#4A74A9	Autophagy
A71	F31	0.486163578521417	no	#4A74A9	Autophagy
A71	F33	0.423884427500706	no	#4A74A9	Autophagy
A71	J45	-0.455030946474041	no	#B64539	Autophagy
A71	J84	0.320875422957851	no	#4A74A9	Autophagy
A71	K51	0.465849252075728	no	#4A74A9	Autophagy
A71	K58	0.433691434435788	no	#4A74A9	Autophagy
A71	N30	0.374364195564986	no	#4A74A9	Autophagy
A71	N80	0.472017736429108	no	#4A74A9	Autophagy
A71	Q96	0.5041514474306	no	#4A74A9	Autophagy
A90	C67	0.295396813006801	no	#4A74A9	Autophagy
A90	K50	0.486415663109106	no	#4A74A9	Autophagy
A90	R65	0.468691026791601	no	#4A74A9	Autophagy
B17	C53	0.403316456636832	no	#4A74A9	Autophagy
B17	D45	-0.306005093336778	no	#B64539	Autophagy
B17	D47	-0.207916580597332	no	#B64539	Autophagy
B17	E10	-0.423516046932903	no	#B64539	Autophagy
B17	I21	-0.565927882402175	no	#B64539	Autophagy
B17	M32	-0.588456971357226	no	#B64539	Autophagy
B17	N19	-0.215410887263275	no	#B64539	Autophagy
B44	E11	-0.471204482579908	no	#B64539	Autophagy
B44	I42	0.325736676117123	no	#4A74A9	Autophagy
C11	C53	0.506323646846999	no	#4A74A9	Autophagy
C11	C92	0.340960603230608	no	#4A74A9	Autophagy
C11	D82	-0.318168422119601	no	#B64539	Autophagy
C11	M32	-0.429520766178993	no	#B64539	Autophagy
C11	M47	-0.247777257437092	no	#B64539	Autophagy
C11	N19	-0.251598589966458	no	#B64539	Autophagy
C11	N80	-0.216491697884364	no	#B64539	Autophagy
C14	C43	0.419180175294604	no	#4A74A9	Autophagy
C14	C53	0.365996886343449	no	#4A74A9	Autophagy
C14	C73	0.496396785650445	no	#4A74A9	Autophagy
C14	K12	0.341562257893857	no	#4A74A9	Autophagy
C14	K13	0.676876037206365	no	#4A74A9	Autophagy
C16	C18	0.491143495482984	no	#4A74A9	Autophagy
C16	C25	0.620164240237456	no	#4A74A9	Autophagy
C16	C74	0.347120975524501	no	#4A74A9	Autophagy
C16	D47	-0.45270647864736	no	#B64539	Autophagy
C18	D47	-0.354165246739808	no	#B64539	Autophagy
C18	D82	-0.355904850165684	no	#B64539	Autophagy
C18	K51	0.453285810893484	no	#4A74A9	Autophagy
C18	K58	0.508210589936878	no	#4A74A9	Autophagy
C22	C25	0.490075680281161	yes	#4A74A9	Autophagy
C22	C34	0.442381652361953	no	#4A74A9	Autophagy
C22	C50	0.3414095441039	no	#4A74A9	Autophagy
C22	C56	0.468558090719966	no	#4A74A9	Autophagy
C22	C91	0.496298335854599	no	#4A74A9	Autophagy
C25	C73	0.163853288904557	no	#4A74A9	Autophagy
C25	E11	0.459417278564975	yes	#4A74A9	Autophagy
C25	J45	0.494871968954124	no	#4A74A9	Autophagy
C25	N80	-0.462231376368483	no	#B64539	Autophagy
C34	C38	0.5677856834663	yes	#4A74A9	Autophagy
C34	C50	0.680031779496453	no	#4A74A9	Autophagy
C34	C56	0.596828660906542	no	#4A74A9	Autophagy
C34	C91	0.49643776059187	no	#4A74A9	Autophagy
C34	F31	-0.489893289115545	no	#B64539	Autophagy
C38	J32	0.586901554614039	no	#4A74A9	Autophagy
C38	L20	0.560543485162214	no	#4A74A9	Autophagy
C43	C50	0.420975402094006	no	#4A74A9	Autophagy
C43	C73	0.363884203607614	no	#4A74A9	Autophagy
C43	L20	0.497809624218531	no	#4A74A9	Autophagy
C43	L40	0.325328233873634	no	#4A74A9	Autophagy
C50	C56	0.564506825095921	no	#4A74A9	Autophagy
C50	G20	0.34765060399325	no	#4A74A9	Autophagy
C53	C79	0.425648073198381	yes	#4A74A9	Autophagy
C53	C92	0.423858830095812	no	#4A74A9	Autophagy
C53	D46	-0.335497387287885	no	#B64539	Autophagy
C53	I21	-0.417843111592574	no	#B64539	Autophagy
C53	J84	-0.360042984915497	no	#B64539	Autophagy
C53	K12	0.325272927914408	no	#4A74A9	Autophagy
C53	M32	-0.432675596560484	no	#B64539	Autophagy
C53	N19	-0.297575038178042	no	#B64539	Autophagy
C53	N80	-0.298270442191467	no	#B64539	Autophagy
C64	D57	-0.28795090109632	no	#B64539	Autophagy
C64	M60	0.339170464725493	no	#4A74A9	Autophagy
C71	F20	0.449907685316701	no	#4A74A9	Autophagy
C71	G30	0.517457729445599	no	#4A74A9	Autophagy
C71	K13	-0.332900100577209	no	#B64539	Autophagy
C73	C74	0.324467040658782	no	#4A74A9	Autophagy
C73	K12	0.306502546267022	no	#4A74A9	Autophagy
C73	L20	0.479973361209051	no	#4A74A9	Autophagy
C73	M47	0.425583876093874	no	#4A74A9	Autophagy
C73	M60	0.298837045988145	no	#4A74A9	Autophagy
C73	N30	0.417965405928195	no	#4A74A9	Autophagy
C79	K12	0.364036374252658	no	#4A74A9	Autophagy
C91	F31	-0.540823932083872	no	#B64539	Autophagy
C92	Q96	-0.42303647896442	no	#B64539	Autophagy
D45	D47	0.905484945694724	yes	#4A74A9	Autophagy
D45	D75	0.666492470663945	yes	#4A74A9	Autophagy
D45	M32	0.264056116236294	no	#4A74A9	Autophagy
D45	N19	0.467073941635355	no	#4A74A9	Autophagy
D47	D75	0.582475171414992	yes	#4A74A9	Autophagy
D47	M32	0.143525168197554	no	#4A74A9	Autophagy
D47	N19	0.553628524040136	no	#4A74A9	Autophagy
D57	D75	0.556672480604527	no	#4A74A9	Autophagy
D72	I48	-0.220004356094051	no	#B64539	Autophagy
D75	M32	0.355380702576636	no	#4A74A9	Autophagy
