Disease1	Disease2	weight	comorbid	colors	pathway
A71	N30	0.830075187969925	no	#4A74A9	Autophagy
A90	R65	0.827838827838828	no	#4A74A9	Autophagy
C14	C73	0.827960275019099	no	#4A74A9	Autophagy
C16	C25	0.704858299595142	no	#4A74A9	Autophagy
C22	C25	0.692406692406693	yes	#4A74A9	Autophagy
C22	C34	0.628879345271858	no	#4A74A9	Autophagy
C34	C50	0.748885077186964	no	#4A74A9	Autophagy
C71	G30	0.780791788856305	no	#4A74A9	Autophagy
C73	N30	0.742302052785924	no	#4A74A9	Autophagy
D82	R65	0.755603934849218	no	#4A74A9	Autophagy
K51	K58	0.937062937062937	yes	#4A74A9	Autophagy
K51	L40	0.788766788766789	no	#4A74A9	Autophagy
K58	L40	0.869172932330827	no	#4A74A9	Autophagy
M32	R65	0.685714285714286	no	#4A74A9	Autophagy
A71	C56	0.472422521023405	no	#4A74A9	Cell Cycle
A71	C73	0.689412003793524	no	#4A74A9	Cell Cycle
A71	D82	0.367363407337427	no	#4A74A9	Cell Cycle
A71	K51	0.511157499217201	no	#4A74A9	Cell Cycle
A71	L40	0.499521873184682	no	#4A74A9	Cell Cycle
A71	M32	0.493488642981945	no	#4A74A9	Cell Cycle
A71	N19	0.482134082134082	no	#4A74A9	Cell Cycle
A71	N30	0.741796494644596	no	#4A74A9	Cell Cycle
A71	Q96	0.621465085240865	no	#4A74A9	Cell Cycle
A71	R65	0.51968380572568	no	#4A74A9	Cell Cycle
A90	C22	0.474157421525843	no	#4A74A9	Cell Cycle
A90	C34	0.449793295323184	no	#4A74A9	Cell Cycle
A90	C50	0.544309816491142	no	#4A74A9	Cell Cycle
A90	C56	0.522284391279182	no	#4A74A9	Cell Cycle
A90	C73	0.526642832822608	no	#4A74A9	Cell Cycle
A90	D75	0.784620371120655	no	#4A74A9	Cell Cycle
A90	D86	0.713601127554616	no	#4A74A9	Cell Cycle
A90	L40	0.57459634959635	no	#4A74A9	Cell Cycle
A90	M32	0.753833763237231	no	#4A74A9	Cell Cycle
A90	R65	0.725253348864298	no	#4A74A9	Cell Cycle
B17	Q96	-0.96043956043956	no	#B64539	Cell Cycle
C11	C14	0.469884822655067	yes	#4A74A9	Cell Cycle
C11	C16	0.533852284311	no	#4A74A9	Cell Cycle
C11	C18	0.526052530325429	no	#4A74A9	Cell Cycle
C11	C22	0.518869661266568	no	#4A74A9	Cell Cycle
C11	C34	0.543231646388056	no	#4A74A9	Cell Cycle
C11	C50	0.52436245252306	no	#4A74A9	Cell Cycle
C11	C53	0.653493676135185	no	#4A74A9	Cell Cycle
C11	C64	0.535485217238501	no	#4A74A9	Cell Cycle
C11	C71	0.583571428571429	no	#4A74A9	Cell Cycle
C11	C73	0.666187925998053	no	#4A74A9	Cell Cycle
C11	L40	0.583203612656628	no	#4A74A9	Cell Cycle
C11	N80	-0.466034609720177	no	#B64539	Cell Cycle
C14	C16	0.679663427974531	no	#4A74A9	Cell Cycle
C14	C18	0.678018827794115	no	#4A74A9	Cell Cycle
C14	C22	0.661304415225694	no	#4A74A9	Cell Cycle
C14	C25	0.489216351706974	no	#4A74A9	Cell Cycle
C14	C34	0.637728025953064	no	#4A74A9	Cell Cycle
C14	C50	0.659032690950391	no	#4A74A9	Cell Cycle
C14	C53	0.556486346619174	no	#4A74A9	Cell Cycle
C14	C56	0.674601038626284	no	#4A74A9	Cell Cycle
C14	C64	0.54237796888369	no	#4A74A9	Cell Cycle
C14	C71	0.390070997704586	no	#4A74A9	Cell Cycle
C14	C73	0.710636407642587	no	#4A74A9	Cell Cycle
C14	K13	0.822954822954823	no	#4A74A9	Cell Cycle
C14	K51	0.48124358873195	no	#4A74A9	Cell Cycle
C14	K58	0.599547511312217	no	#4A74A9	Cell Cycle
C14	L40	0.654848387785608	no	#4A74A9	Cell Cycle
C14	M32	0.436357998187109	no	#4A74A9	Cell Cycle
C14	N30	0.436721665242998	no	#4A74A9	Cell Cycle
C14	N80	-0.390185435524894	no	#B64539	Cell Cycle
C16	C18	0.711803138726609	no	#4A74A9	Cell Cycle
C16	C22	0.687390304336715	no	#4A74A9	Cell Cycle
C16	C25	0.603665882436704	no	#4A74A9	Cell Cycle
C16	C34	0.70473445127395	no	#4A74A9	Cell Cycle
C16	C50	0.695228717355734	no	#4A74A9	Cell Cycle
C16	C53	0.568306109272678	no	#4A74A9	Cell Cycle
C16	C56	0.722275339922399	no	#4A74A9	Cell Cycle
C16	C64	0.562470201679792	no	#4A74A9	Cell Cycle
C16	C71	0.376093335761844	no	#4A74A9	Cell Cycle
C16	C73	0.62250433224946	no	#4A74A9	Cell Cycle
C16	C79	0.684020146520147	yes	#4A74A9	Cell Cycle
C16	J32	0.699780058651026	no	#4A74A9	Cell Cycle
C16	K51	0.46395000787691	no	#4A74A9	Cell Cycle
C16	L40	0.616008226757381	no	#4A74A9	Cell Cycle
C16	N30	0.49878703380969	no	#4A74A9	Cell Cycle
C16	N80	-0.405266803279455	no	#B64539	Cell Cycle
C18	C22	0.600340470543513	no	#4A74A9	Cell Cycle
C18	C25	0.396375891664958	no	#4A74A9	Cell Cycle
C18	C34	0.719973735143582	no	#4A74A9	Cell Cycle
C18	C50	0.634955129828115	no	#4A74A9	Cell Cycle
C18	C53	0.596930314171693	no	#4A74A9	Cell Cycle
C18	C56	0.633406871430259	no	#4A74A9	Cell Cycle
C18	C64	0.472115262250864	no	#4A74A9	Cell Cycle
C18	C71	0.440242450096873	no	#4A74A9	Cell Cycle
C18	C73	0.488522111941316	no	#4A74A9	Cell Cycle
C18	C79	0.653900572384076	yes	#4A74A9	Cell Cycle
C18	D82	-0.304331381459794	no	#B64539	Cell Cycle
C18	K51	0.537554581568666	no	#4A74A9	Cell Cycle
C18	K58	0.65269880150468	no	#4A74A9	Cell Cycle
C18	L40	0.566780016579539	no	#4A74A9	Cell Cycle
C18	N80	-0.396485716475325	no	#B64539	Cell Cycle
C22	C25	0.501721223013414	yes	#4A74A9	Cell Cycle
C22	C34	0.759816111511027	no	#4A74A9	Cell Cycle
C22	C50	0.732880288370328	no	#4A74A9	Cell Cycle
C22	C53	0.59687166767664	no	#4A74A9	Cell Cycle
C22	C56	0.678909491500994	no	#4A74A9	Cell Cycle
C22	C64	0.590679923414198	no	#4A74A9	Cell Cycle
C22	C71	0.375186452731233	no	#4A74A9	Cell Cycle
C22	C73	0.645201846238633	no	#4A74A9	Cell Cycle
C22	C79	0.606662826420891	no	#4A74A9	Cell Cycle
C22	D75	0.589237041351194	no	#4A74A9	Cell Cycle
C22	F17	-0.49493366419608	no	#B64539	Cell Cycle
C22	J32	0.792008757525999	no	#4A74A9	Cell Cycle
C22	K51	0.416848356030809	no	#4A74A9	Cell Cycle
C22	L40	0.55160032108353	no	#4A74A9	Cell Cycle
C22	N30	0.448158980127484	no	#4A74A9	Cell Cycle
C22	N80	-0.42074923492778	no	#B64539	Cell Cycle
C25	C34	0.413999350754748	no	#4A74A9	Cell Cycle
C25	C50	0.536434061611088	no	#4A74A9	Cell Cycle
C25	C53	0.395889958806024	no	#4A74A9	Cell Cycle
C25	C56	0.498611811782955	no	#4A74A9	Cell Cycle
C25	C64	0.53968789811477	no	#4A74A9	Cell Cycle
C25	C73	0.492831541218638	no	#4A74A9	Cell Cycle
C25	K51	0.415261627906977	no	#4A74A9	Cell Cycle
C25	L40	0.356659925515809	no	#4A74A9	Cell Cycle
C25	N30	0.46259380943357	no	#4A74A9	Cell Cycle
C25	N80	-0.409732832228534	no	#B64539	Cell Cycle
C34	C50	0.811005840769482	no	#4A74A9	Cell Cycle
C34	C53	0.616399042888762	no	#4A74A9	Cell Cycle
C34	C56	0.793501436521582	no	#4A74A9	Cell Cycle
C34	C64	0.37813279231018	no	#4A74A9	Cell Cycle
C34	C71	0.331301948907744	yes	#4A74A9	Cell Cycle
C34	C73	0.606404436599575	no	#4A74A9	Cell Cycle
C34	C79	0.736831950607756	yes	#4A74A9	Cell Cycle
C34	D75	0.619107728809303	no	#4A74A9	Cell Cycle
C34	J32	0.73596256684492	no	#4A74A9	Cell Cycle
C34	K51	0.474495537426314	no	#4A74A9	Cell Cycle
C34	L40	0.702858387650672	no	#4A74A9	Cell Cycle
C34	N30	0.335377416239305	no	#4A74A9	Cell Cycle
C34	N80	-0.384606755033584	no	#B64539	Cell Cycle
C50	C53	0.597624182087905	no	#4A74A9	Cell Cycle
C50	C56	0.772057076429785	no	#4A74A9	Cell Cycle
C50	C64	0.506823705922903	no	#4A74A9	Cell Cycle
C50	C71	0.373611446025239	no	#4A74A9	Cell Cycle
C50	C73	0.667068488678351	no	#4A74A9	Cell Cycle
C50	C74	0.902941176470588	no	#4A74A9	Cell Cycle
C50	C79	0.74516165973203	yes	#4A74A9	Cell Cycle
C50	D75	0.559714072335432	no	#4A74A9	Cell Cycle
C50	K51	0.502057928777769	no	#4A74A9	Cell Cycle
C50	L40	0.669779780201272	no	#4A74A9	Cell Cycle
C50	N30	0.478346456692913	no	#4A74A9	Cell Cycle
C50	N80	-0.442728539277677	no	#B64539	Cell Cycle
C53	C56	0.491128407925847	yes	#4A74A9	Cell Cycle
C53	C64	0.438755538282161	no	#4A74A9	Cell Cycle
C53	C73	0.561293304182442	no	#4A74A9	Cell Cycle
