Disease1	Disease2	weight	comorbid	colors	pathway
A71	B17	-0.404826724078061	no	#B64539	Autophagy
A71	F17	0.466246719160105	no	#4A74A9	Autophagy
A71	I21	0.467365742365742	no	#4A74A9	Autophagy
A71	L20	0.454542182227222	no	#4A74A9	Autophagy
A71	N30	0.470708490797229	no	#4A74A9	Autophagy
A71	N80	0.473671274961597	no	#4A74A9	Autophagy
A71	Q96	0.453475288420453	no	#4A74A9	Autophagy
A90	K50	0.450284859706595	no	#4A74A9	Autophagy
A90	R65	0.498223850955486	no	#4A74A9	Autophagy
B17	I21	-0.595050728012799	no	#B64539	Autophagy
B17	M47	-0.393630977361122	no	#B64539	Autophagy
B17	N19	-0.420936190032604	no	#B64539	Autophagy
B17	N80	-0.379789142407553	no	#B64539	Autophagy
B44	E11	-0.383307833891237	no	#B64539	Autophagy
C11	C53	0.559451043708915	no	#4A74A9	Autophagy
C11	N19	-0.416488241488241	no	#B64539	Autophagy
C11	N80	-0.396034446836586	no	#B64539	Autophagy
C14	C18	0.370899886532251	no	#4A74A9	Autophagy
C14	C73	0.389087656529517	no	#4A74A9	Autophagy
C14	K13	0.678552321007081	no	#4A74A9	Autophagy
C16	C18	0.497536242233807	no	#4A74A9	Autophagy
C16	C25	0.402106932842168	no	#4A74A9	Autophagy
C16	C56	0.374506483304598	no	#4A74A9	Autophagy
C18	K51	0.419794525684289	no	#4A74A9	Autophagy
C18	K58	0.457032258064516	no	#4A74A9	Autophagy
C22	C34	0.387262058107915	no	#4A74A9	Autophagy
C22	C50	0.391207480559134	no	#4A74A9	Autophagy
C25	M60	0.382373658318426	no	#4A74A9	Autophagy
C34	C38	0.403458573512049	yes	#4A74A9	Autophagy
C34	C50	0.504503601927389	no	#4A74A9	Autophagy
C38	J32	0.476932423401713	no	#4A74A9	Autophagy
C43	L20	0.438265876565295	no	#4A74A9	Autophagy
C43	L40	0.399241094863142	no	#4A74A9	Autophagy
C50	C56	0.451576737751061	no	#4A74A9	Autophagy
C53	I21	-0.447415177503673	no	#B64539	Autophagy
