Disease1	Disease2	weight	comorbid	colors	pathway
D82	M47	0.275770913217803	no	#4A74A9	Autophagy
D86	M47	1	no	#4A74A9	Autophagy
D86	N19	0.372781182144803	no	#4A74A9	Autophagy
D86	R65	0.38494670927571	no	#4A74A9	Autophagy
F20	G30	0.372605854665423	no	#4A74A9	Autophagy
F84	M47	-0.255308755857852	no	#B64539	Autophagy
F84	R65	-0.21482528437713	no	#B64539	Autophagy
G10	G30	0.299650900491828	no	#4A74A9	Autophagy
G10	G35	0.331091754289617	no	#4A74A9	Autophagy
G20	G30	0.497133690242904	no	#4A74A9	Autophagy
G35	L82	0.464259997801787	no	#4A74A9	Autophagy
I21	I48	-0.280328648106337	no	#B64539	Autophagy
I21	M47	0.47213546570424	no	#4A74A9	Autophagy
I73	M47	0.399415567751422	no	#4A74A9	Autophagy
J45	L82	0.281941837252073	no	#4A74A9	Autophagy
K50	K51	0.455493669759011	yes	#4A74A9	Autophagy
K50	K58	0.42615576160381	yes	#4A74A9	Autophagy
K50	L40	0.46265399480902	no	#4A74A9	Autophagy
K50	L71	0.338077200595712	yes	#4A74A9	Autophagy
K51	K58	0.640077542988553	yes	#4A74A9	Autophagy
L40	L70	0.604267395660366	no	#4A74A9	Autophagy
L40	L71	0.597178194827017	yes	#4A74A9	Autophagy
M47	N19	0.366956174759218	no	#4A74A9	Autophagy
M47	R65	0.441910925844503	no	#4A74A9	Autophagy
A71	A90	0.232490918213271	no	#4A74A9	Cell Cycle
A71	B19	0.556611337647617	no	#4A74A9	Cell Cycle
A71	B44	0.237526546570365	no	#4A74A9	Cell Cycle
A71	C14	0.363638718600768	no	#4A74A9	Cell Cycle
A71	C61	0.248204068003468	no	#4A74A9	Cell Cycle
A71	C67	0.253742332174351	no	#4A74A9	Cell Cycle
A71	C73	0.40283854562515	no	#4A74A9	Cell Cycle
A71	C82	-0.313508075977546	no	#B64539	Cell Cycle
A71	C92	-0.285327935026733	no	#B64539	Cell Cycle
A71	D47	0.290159724227983	no	#4A74A9	Cell Cycle
A71	D86	0.240704104809117	no	#4A74A9	Cell Cycle
A71	F20	0.176384274584202	no	#4A74A9	Cell Cycle
A71	G35	-0.209271141414603	no	#B64539	Cell Cycle
A71	I73	-0.182212811879543	no	#B64539	Cell Cycle
A71	J32	0.227054205562652	no	#4A74A9	Cell Cycle
A71	J84	0.246298349316493	no	#4A74A9	Cell Cycle
A71	K12	0.277478914736364	no	#4A74A9	Cell Cycle
A71	K13	0.334197800009866	no	#4A74A9	Cell Cycle
A71	K50	0.286858804631001	no	#4A74A9	Cell Cycle
A71	K51	0.211150460575168	no	#4A74A9	Cell Cycle
A71	K58	0.36155797103197	no	#4A74A9	Cell Cycle
