Disease1	Disease2	weight	comorbid	colors	pathway
A71	B19	0.20461284253632	no	#4A74A9	Autophagy
A71	B44	0.135675874192539	no	#4A74A9	Autophagy
A71	C38	0.160980677245891	no	#4A74A9	Autophagy
A71	C73	0.289719883825588	no	#4A74A9	Autophagy
A71	F20	0.0608601439802018	no	#4A74A9	Autophagy
A71	K51	0.160274290133776	no	#4A74A9	Autophagy
A71	K58	0.24415779470099	no	#4A74A9	Autophagy
A90	C67	0.156347358651156	no	#4A74A9	Autophagy
A90	C92	0.182814692693939	no	#4A74A9	Autophagy
A90	H31	0.276928925607358	no	#4A74A9	Autophagy
A90	I21	0.0960284675483789	no	#4A74A9	Autophagy
A90	K50	0.16005539553711	no	#4A74A9	Autophagy
A90	M33	0.196928470192023	no	#4A74A9	Autophagy
A90	R65	0.259051800290214	no	#4A74A9	Autophagy
B17	E11	0.0472805585138293	no	#4A74A9	Autophagy
B17	I21	-0.0655748523676542	no	#B64539	Autophagy
B19	B44	0.202480203218808	no	#4A74A9	Autophagy
B19	D86	0.186978017802456	no	#4A74A9	Autophagy
B19	G71	0.269512050623706	no	#4A74A9	Autophagy
B19	I21	0.11155341890931	no	#4A74A9	Autophagy
B19	I48	-0.161965706415215	no	#B64539	Autophagy
B19	M47	0.180822995611302	no	#4A74A9	Autophagy
B44	D47	0.173099304182044	no	#4A74A9	Autophagy
B44	G10	-0.158073790208163	no	#B64539	Autophagy
B44	G35	-0.171133872144042	no	#B64539	Autophagy
B44	G71	0.203760730261707	no	#4A74A9	Autophagy
B44	I48	-0.150757586564651	no	#B64539	Autophagy
B44	J45	-0.214924780780588	no	#B64539	Autophagy
C11	C15	0.261166254202422	no	#4A74A9	Autophagy
C11	C18	0.232202800210976	no	#4A74A9	Autophagy
C11	C34	0.364769648985086	no	#4A74A9	Autophagy
C11	C38	0.361168979588764	no	#4A74A9	Autophagy
C11	J32	0.199679266305331	no	#4A74A9	Autophagy
C14	C15	0.21116066521776	no	#4A74A9	Autophagy
C14	C18	0.200879745383143	no	#4A74A9	Autophagy
C14	C38	0.211891754358622	no	#4A74A9	Autophagy
C14	C73	0.317695473725206	no	#4A74A9	Autophagy
C14	K12	0.242715249789359	no	#4A74A9	Autophagy
C14	K13	0.375956126215948	no	#4A74A9	Autophagy
C15	C18	0.252012421682603	no	#4A74A9	Autophagy
C15	C22	0.213148346982744	no	#4A74A9	Autophagy
C15	C34	0.479032153441785	no	#4A74A9	Autophagy
C15	C38	0.298154530778188	no	#4A74A9	Autophagy
C15	C73	0.241718207228403	no	#4A74A9	Autophagy
C15	K58	0.182086926738788	no	#4A74A9	Autophagy
C15	L40	0.305435192599397	no	#4A74A9	Autophagy
C15	L71	0.224419067093803	no	#4A74A9	Autophagy
C16	C18	0.204195773679626	no	#4A74A9	Autophagy
C16	C22	0.165487486074485	no	#4A74A9	Autophagy
C16	C25	0.166197730532442	no	#4A74A9	Autophagy
C18	C22	0.20071652981993	no	#4A74A9	Autophagy
C18	C34	0.316939120237044	no	#4A74A9	Autophagy
C18	C93	0.230665656469526	no	#4A74A9	Autophagy
C18	M47	-0.151229584158732	no	#B64539	Autophagy
C22	C34	0.304577654879672	no	#4A74A9	Autophagy
C22	C74	0.20489825047344	no	#4A74A9	Autophagy
C22	K70	0.311563425551997	yes	#4A74A9	Autophagy
C25	C64	0.210523778358243	no	#4A74A9	Autophagy
C25	C73	0.285227981253426	no	#4A74A9	Autophagy
C25	D47	-0.1243550755062	no	#B64539	Autophagy
C25	K50	0.136057244805618	no	#4A74A9	Autophagy
C25	K70	0.233160096280889	no	#4A74A9	Autophagy
C34	C38	0.427895911096891	yes	#4A74A9	Autophagy
C34	C73	0.27388908057188	no	#4A74A9	Autophagy
C34	K50	0.226030775104057	no	#4A74A9	Autophagy
C34	L40	0.264474180382237	no	#4A74A9	Autophagy
C38	C73	0.360235007817873	no	#4A74A9	Autophagy
C38	C74	0.337941453049736	no	#4A74A9	Autophagy
C38	J84	0.193687760238455	no	#4A74A9	Autophagy
C38	K12	0.192161694212096	no	#4A74A9	Autophagy
C38	K13	0.214219382774623	no	#4A74A9	Autophagy
C38	K58	0.269327056509462	no	#4A74A9	Autophagy
C49	C64	0.371412080225163	no	#4A74A9	Autophagy
C49	C71	1	no	#4A74A9	Autophagy
C61	K51	0.128052457181637	no	#4A74A9	Autophagy
C64	C71	0.29472331651582	yes	#4A74A9	Autophagy
C64	C73	0.278635282860089	no	#4A74A9	Autophagy
C64	N02	0.153625080555553	yes	#4A74A9	Autophagy
C67	I21	0.093523210614433	no	#4A74A9	Autophagy
C67	R65	0.265097123827998	no	#4A74A9	Autophagy
C71	F20	0.0604053464908413	no	#4A74A9	Autophagy
C71	G20	0.322635184341092	no	#4A74A9	Autophagy
C71	G30	0.282001970460044	no	#4A74A9	Autophagy
C73	F17	0.0881191589262359	no	#4A74A9	Autophagy
C73	G20	0.24410477929395	no	#4A74A9	Autophagy
C73	K12	0.218567250523148	no	#4A74A9	Autophagy
C73	K13	0.289451018760446	no	#4A74A9	Autophagy
C73	K50	0.201632068586461	no	#4A74A9	Autophagy
C73	K58	0.311067000492071	no	#4A74A9	Autophagy
C73	K70	0.401451195179062	no	#4A74A9	Autophagy
C73	L70	0.271920032374108	no	#4A74A9	Autophagy
C73	Q98	0.1632901756649	no	#4A74A9	Autophagy
C84	D45	0.204215926467634	no	#4A74A9	Autophagy
C84	D46	0.222393238311058	no	#4A74A9	Autophagy
C84	F20	0.0652656220132055	no	#4A74A9	Autophagy
C84	G30	0.169865459933544	no	#4A74A9	Autophagy
C84	H31	0.225178179550416	no	#4A74A9	Autophagy
C84	J45	0.435258169940966	no	#4A74A9	Autophagy
C84	M35	0.13197235616741	no	#4A74A9	Autophagy
C92	C93	0.173545524222466	yes	#4A74A9	Autophagy
C93	D82	-0.30030023203658	no	#B64539	Autophagy
C93	M47	-0.180922694885356	no	#B64539	Autophagy
C93	R65	-0.2017047516747	no	#B64539	Autophagy
D45	D47	0.349529007504166	yes	#4A74A9	Autophagy
D45	D75	0.503016496682321	yes	#4A74A9	Autophagy
D45	D82	0.335220089306509	no	#4A74A9	Autophagy
D45	D86	0.293842637667616	no	#4A74A9	Autophagy
D45	M47	0.323570949092208	no	#4A74A9	Autophagy
D45	N19	0.247188379733632	no	#4A74A9	Autophagy
D45	R65	0.230150883222413	no	#4A74A9	Autophagy
D46	G30	0.119596857300664	no	#4A74A9	Autophagy
D46	M35	0.107589868124057	no	#4A74A9	Autophagy
D47	D75	0.40785936457558	yes	#4A74A9	Autophagy
D47	D86	0.21186691211244	no	#4A74A9	Autophagy
D47	N19	0.207452582027282	no	#4A74A9	Autophagy
D75	D86	0.250315450258941	no	#4A74A9	Autophagy
D75	M47	0.204896187573701	no	#4A74A9	Autophagy
D75	N19	0.331884305014484	no	#4A74A9	Autophagy
D82	D86	0.327073170916754	no	#4A74A9	Autophagy
D82	F84	-0.0615844832854438	no	#B64539	Autophagy
D82	I21	0.145612237003943	no	#4A74A9	Autophagy
D82	M47	0.360913741771784	no	#4A74A9	Autophagy
D82	R65	0.489333140731413	no	#4A74A9	Autophagy
D86	I21	0.127683412158564	no	#4A74A9	Autophagy
D86	I73	0.138855603656163	no	#4A74A9	Autophagy
D86	M47	0.503384327136578	no	#4A74A9	Autophagy
D86	N19	0.207417124287069	no	#4A74A9	Autophagy
D86	R65	0.282437206918179	no	#4A74A9	Autophagy
E10	F17	0.0825245728595817	no	#4A74A9	Autophagy
F20	G20	0.0910278507081266	no	#4A74A9	Autophagy
F20	G30	0.116352702096323	no	#4A74A9	Autophagy
F84	M47	-0.0559920448386713	no	#B64539	Autophagy
G10	G12	-0.108323746880078	no	#B64539	Autophagy
G10	G35	0.176121296603993	no	#4A74A9	Autophagy
G10	G71	-0.168414082284015	no	#B64539	Autophagy
G10	L82	0.189128848189335	no	#4A74A9	Autophagy
G12	L82	-0.124331084010644	no	#B64539	Autophagy
G20	G30	0.36805354918635	no	#4A74A9	Autophagy
G35	L82	0.235041251401776	no	#4A74A9	Autophagy
G35	M33	0.13738758836295	no	#4A74A9	Autophagy
G71	K58	0.255346093985471	no	#4A74A9	Autophagy
H31	J45	0.39079226695132	no	#4A74A9	Autophagy
H31	M47	0.145765172733281	no	#4A74A9	Autophagy
H31	R65	0.221163800273221	no	#4A74A9	Autophagy
I21	I48	-0.0912526208140548	no	#B64539	Autophagy
I21	M47	0.173435322443993	no	#4A74A9	Autophagy
I21	R65	0.154468246519434	no	#4A74A9	Autophagy
I73	M47	0.163974275525542	no	#4A74A9	Autophagy
K12	K58	0.195083680648403	no	#4A74A9	Autophagy
K13	K50	0.152671560880476	no	#4A74A9	Autophagy
K50	K51	0.185450769314096	yes	#4A74A9	Autophagy
K50	K58	0.207991434338411	yes	#4A74A9	Autophagy
K50	L40	0.21575626053127	no	#4A74A9	Autophagy
K50	L70	0.141014243730645	yes	#4A74A9	Autophagy
K50	L71	0.162999354478153	yes	#4A74A9	Autophagy
K51	K58	0.468662881142578	yes	#4A74A9	Autophagy
K51	L40	0.233455184719885	no	#4A74A9	Autophagy
K58	L40	0.217245436637878	no	#4A74A9	Autophagy
K58	L71	0.208955226841798	no	#4A74A9	Autophagy
L40	L70	0.329866916223543	no	#4A74A9	Autophagy
L40	L71	0.394568244620834	yes	#4A74A9	Autophagy
L70	L82	-0.161937452236926	no	#B64539	Autophagy
M35	Q87	0.0741057526664403	no	#4A74A9	Autophagy
M47	N19	0.177474840469595	no	#4A74A9	Autophagy
M47	R65	0.304534722694591	no	#4A74A9	Autophagy
A71	A90	0.139054334557837	no	#4A74A9	Cell Cycle
A71	B19	0.209863791643979	no	#4A74A9	Cell Cycle
A71	B44	0.0787232198054904	no	#4A74A9	Cell Cycle
A71	C14	0.159009526181752	no	#4A74A9	Cell Cycle
A71	C15	0.14126005728685	no	#4A74A9	Cell Cycle
A71	C16	0.0526885394885909	no	#4A74A9	Cell Cycle
A71	C25	0.0634259663102548	no	#4A74A9	Cell Cycle
A71	C34	0.0763911727482731	no	#4A74A9	Cell Cycle
A71	C38	0.11168501052413	no	#4A74A9	Cell Cycle
A71	C49	0.131104718455686	no	#4A74A9	Cell Cycle
A71	C61	0.0956251381097781	no	#4A74A9	Cell Cycle
A71	C64	0.117419271456052	no	#4A74A9	Cell Cycle
A71	C67	0.154327931464053	no	#4A74A9	Cell Cycle
A71	C73	0.24005762572751	no	#4A74A9	Cell Cycle
A71	C74	0.077944251850677	no	#4A74A9	Cell Cycle
A71	C82	-0.0924364326206412	no	#B64539	Cell Cycle
A71	C84	0.11744833673491	no	#4A74A9	Cell Cycle
A71	C90	0.0676899936298581	no	#4A74A9	Cell Cycle
A71	D47	0.0865864050746107	no	#4A74A9	Cell Cycle
A71	D56	0.0748767507158428	no	#4A74A9	Cell Cycle
A71	D86	0.102316211526294	no	#4A74A9	Cell Cycle
A71	F17	0.0469840847073922	no	#4A74A9	Cell Cycle
A71	F20	0.0333203058981173	no	#4A74A9	Cell Cycle
A71	G12	0.0630414135518153	no	#4A74A9	Cell Cycle
A71	G35	-0.0696015339545322	no	#B64539	Cell Cycle
A71	G71	0.0904005615030435	no	#4A74A9	Cell Cycle
A71	I21	0.0353830412825552	no	#4A74A9	Cell Cycle
A71	I48	-0.0697550716600389	no	#B64539	Cell Cycle
A71	J32	0.105241425916733	no	#4A74A9	Cell Cycle
A71	J44	0.0371719898934901	no	#4A74A9	Cell Cycle
A71	J84	0.0853198681092156	no	#4A74A9	Cell Cycle
A71	K12	0.115026054479261	no	#4A74A9	Cell Cycle
A71	K13	0.129795628699632	no	#4A74A9	Cell Cycle
A71	K50	0.0971853167316805	no	#4A74A9	Cell Cycle
A71	K51	0.0945416156321238	no	#4A74A9	Cell Cycle
A71	K58	0.16436492297358	no	#4A74A9	Cell Cycle
A71	L40	0.125688460571878	no	#4A74A9	Cell Cycle
A71	L70	0.161984495597991	no	#4A74A9	Cell Cycle
A71	L71	0.202854398193069	no	#4A74A9	Cell Cycle
A71	M33	0.0749606951478008	no	#4A74A9	Cell Cycle
A71	M47	0.0867863784921343	no	#4A74A9	Cell Cycle
A71	N02	0.0565911397103881	no	#4A74A9	Cell Cycle
A71	Q98	0.109974222323323	no	#4A74A9	Cell Cycle
A71	R65	0.148659193854593	no	#4A74A9	Cell Cycle
A90	B19	0.180402180019137	no	#4A74A9	Cell Cycle
A90	C11	0.437677740933447	no	#4A74A9	Cell Cycle
A90	C14	0.233717219120123	no	#4A74A9	Cell Cycle
A90	C15	0.528480707124883	no	#4A74A9	Cell Cycle
A90	C16	0.228600039158432	no	#4A74A9	Cell Cycle
A90	C18	0.320338143961437	no	#4A74A9	Cell Cycle
A90	C22	0.340492933868049	no	#4A74A9	Cell Cycle
A90	C25	0.22839909620904	no	#4A74A9	Cell Cycle
A90	C34	0.498181054481376	no	#4A74A9	Cell Cycle
A90	C38	0.284471966391628	no	#4A74A9	Cell Cycle
A90	C49	0.412233369495797	no	#4A74A9	Cell Cycle
A90	C61	0.0684152473775447	no	#4A74A9	Cell Cycle
A90	C64	0.252526311650478	no	#4A74A9	Cell Cycle
A90	C67	0.395075391460504	no	#4A74A9	Cell Cycle
A90	C71	0.256676762299131	no	#4A74A9	Cell Cycle
A90	C73	0.508226599810281	no	#4A74A9	Cell Cycle
A90	C74	0.37304484276343	no	#4A74A9	Cell Cycle
A90	C82	-0.105865882950753	no	#B64539	Cell Cycle
A90	C84	0.494073605039951	no	#4A74A9	Cell Cycle
A90	C90	0.138054358422725	no	#4A74A9	Cell Cycle
A90	C93	0.13278379121887	no	#4A74A9	Cell Cycle
A90	D45	0.067106927116372	no	#4A74A9	Cell Cycle
A90	D46	0.0764023336656196	no	#4A74A9	Cell Cycle
A90	D47	0.11075794529562	no	#4A74A9	Cell Cycle
A90	D56	0.118693279005418	no	#4A74A9	Cell Cycle
A90	D72	0.104624256787808	no	#4A74A9	Cell Cycle
A90	D75	0.230533604154289	no	#4A74A9	Cell Cycle
A90	G31	-0.0787251571397839	no	#B64539	Cell Cycle
A90	G71	0.163157683313369	no	#4A74A9	Cell Cycle
A90	H31	0.123892347755023	no	#4A74A9	Cell Cycle
A90	J32	0.186371381225797	no	#4A74A9	Cell Cycle
A90	J44	0.0737696515750857	no	#4A74A9	Cell Cycle
A90	J45	0.363322751532539	no	#4A74A9	Cell Cycle
A90	K13	0.175856525582184	no	#4A74A9	Cell Cycle
A90	K50	0.124562622668703	no	#4A74A9	Cell Cycle
A90	K51	0.11452678972178	no	#4A74A9	Cell Cycle
A90	K58	0.190079618206654	no	#4A74A9	Cell Cycle
A90	K70	0.292211510022505	no	#4A74A9	Cell Cycle
A90	L40	0.44187049231686	no	#4A74A9	Cell Cycle
A90	L70	0.268940157341687	no	#4A74A9	Cell Cycle
A90	L71	0.367401414110179	no	#4A74A9	Cell Cycle
A90	M33	0.19399859510256	no	#4A74A9	Cell Cycle
A90	Q98	0.335337755692448	no	#4A74A9	Cell Cycle
A90	R65	0.231301132133435	no	#4A74A9	Cell Cycle
A90	T86	-0.0601450189898235	no	#B64539	Cell Cycle
B17	B44	-0.058594457082536	no	#B64539	Cell Cycle
B17	C15	-0.0365871631229408	no	#B64539	Cell Cycle
B17	C61	0.0341224830781983	no	#4A74A9	Cell Cycle
B17	C84	0.0526227185565886	no	#4A74A9	Cell Cycle
B17	C92	-0.029733513180507	no	#B64539	Cell Cycle
B17	E10	0.0622548252121103	no	#4A74A9	Cell Cycle
B17	E11	0.0453484155823983	no	#4A74A9	Cell Cycle
B17	F17	0.0452732833815937	yes	#4A74A9	Cell Cycle
B17	F20	0.0249964613606731	no	#4A74A9	Cell Cycle
B17	F31	0.018022534547621	no	#4A74A9	Cell Cycle
B17	G10	0.0801446212518968	no	#4A74A9	Cell Cycle
B17	G12	-0.0410388368698394	no	#B64539	Cell Cycle
B17	G20	0.0681989864839714	no	#4A74A9	Cell Cycle
B17	G30	0.0604482328033163	no	#4A74A9	Cell Cycle
B17	G35	0.0515010074463579	no	#4A74A9	Cell Cycle
B17	I21	-0.0410571115131378	no	#B64539	Cell Cycle
B17	I48	0.0467516749683834	no	#4A74A9	Cell Cycle
B17	K50	-0.0380997171901787	no	#B64539	Cell Cycle
B17	L82	0.0788202551125022	no	#4A74A9	Cell Cycle
B19	B44	0.0977346071871341	no	#4A74A9	Cell Cycle
B19	C11	0.113319466283082	no	#4A74A9	Cell Cycle
B19	C14	0.168710913080156	no	#4A74A9	Cell Cycle
B19	C15	0.168339937651181	no	#4A74A9	Cell Cycle
B19	C16	0.114912769919143	no	#4A74A9	Cell Cycle
B19	C18	0.0834922310603402	no	#4A74A9	Cell Cycle
B19	C22	0.127526868447991	no	#4A74A9	Cell Cycle
B19	C25	0.118216872610825	no	#4A74A9	Cell Cycle
B19	C34	0.105489013688519	no	#4A74A9	Cell Cycle
B19	C49	0.158671126863298	no	#4A74A9	Cell Cycle
B19	C61	0.0608866274769877	no	#4A74A9	Cell Cycle
B19	C64	0.136923425846349	no	#4A74A9	Cell Cycle
B19	C67	0.142817104524488	no	#4A74A9	Cell Cycle
