Disease1	Disease2	weight	comorbid	colors	pathway
A71	B17	-0.115750119160462	no	#B64539	Autophagy
A71	I21	0.0995261272966529	no	#4A74A9	Autophagy
A71	L20	0.266357656042014	no	#4A74A9	Autophagy
A71	M47	0.133810327251178	no	#4A74A9	Autophagy
A71	N80	0.262925607218066	no	#4A74A9	Autophagy
A71	Q96	0.383361639569737	no	#4A74A9	Autophagy
A90	K50	0.23574476190794	no	#4A74A9	Autophagy
A90	R65	0.562308112566706	no	#4A74A9	Autophagy
B17	C92	-0.00583726762140176	no	#B64539	Autophagy
B17	D72	0.00768935390440854	no	#4A74A9	Autophagy
B17	E10	-0.0129532078794673	no	#B64539	Autophagy
B17	G10	-0.0114645863027657	no	#B64539	Autophagy
B17	G12	0.0236841612380817	no	#4A74A9	Autophagy
B17	I21	-0.0160994543692866	no	#B64539	Autophagy
B17	J45	0.0234722914952215	no	#4A74A9	Autophagy
B17	N19	-0.0851195313870137	no	#B64539	Autophagy
B17	N80	-0.0947468339461189	no	#B64539	Autophagy
B17	Q82	0.00843399116428844	no	#4A74A9	Autophagy
B17	T86	0.0222150397762991	no	#4A74A9	Autophagy
B44	J32	-0.0278846972462645	no	#B64539	Autophagy
C11	C18	0.345395136493934	no	#4A74A9	Autophagy
C11	C34	0.469011496570291	no	#4A74A9	Autophagy
C11	C53	0.520290861892905	no	#4A74A9	Autophagy
C11	C92	0.178073388402079	no	#4A74A9	Autophagy
C11	D47	-0.261864307920709	no	#B64539	Autophagy
C11	M47	-0.0753068049478062	no	#B64539	Autophagy
C11	N19	-0.39141207550955	no	#B64539	Autophagy
C11	N80	-0.227031586375726	no	#B64539	Autophagy
C11	Q96	-0.309804122539006	no	#B64539	Autophagy
C14	C18	0.361442697167362	no	#4A74A9	Autophagy
C14	C43	0.402514484639019	no	#4A74A9	Autophagy
C14	C73	0.449393087791095	no	#4A74A9	Autophagy
C14	K13	0.565074587180693	no	#4A74A9	Autophagy
C16	C18	0.489207615113017	no	#4A74A9	Autophagy
C16	C25	0.492543511537867	no	#4A74A9	Autophagy
C16	C56	0.416848890495782	no	#4A74A9	Autophagy
C18	C34	0.327124397956031	no	#4A74A9	Autophagy
C18	K51	0.403741639819117	no	#4A74A9	Autophagy
C18	K58	0.550991400431261	no	#4A74A9	Autophagy
C22	C34	0.517405838712266	no	#4A74A9	Autophagy
C22	C43	0.348734847737338	no	#4A74A9	Autophagy
C22	C50	0.458645995174118	no	#4A74A9	Autophagy
C25	D47	-0.202843524667988	no	#B64539	Autophagy
C25	M60	0.274866117464516	no	#4A74A9	Autophagy
C34	C38	0.780027384951743	yes	#4A74A9	Autophagy
C34	C43	0.39706640261994	no	#4A74A9	Autophagy
C34	C50	0.839997944736134	no	#4A74A9	Autophagy
C34	C56	0.69222986155118	no	#4A74A9	Autophagy
C34	C91	0.438085377039215	no	#4A74A9	Autophagy
C34	L40	0.371708488954589	no	#4A74A9	Autophagy
C38	N19	0.274519424097377	no	#4A74A9	Autophagy
C43	C50	0.485919385100702	no	#4A74A9	Autophagy
C43	C56	0.38681151264238	no	#4A74A9	Autophagy
C43	L40	0.431783910614852	no	#4A74A9	Autophagy
C50	C56	0.559157070243918	no	#4A74A9	Autophagy
C53	D46	-0.225361836038077	no	#B64539	Autophagy
C53	D56	0.272250437131478	no	#4A74A9	Autophagy
C53	M32	-0.336239097950334	no	#B64539	Autophagy
C53	M35	0.143288838616845	no	#4A74A9	Autophagy
C53	N19	-0.471724786254576	no	#B64539	Autophagy
C53	N80	-0.255616397566057	no	#B64539	Autophagy
C67	C79	-0.0468896943178213	no	#B64539	Autophagy
C71	C92	0.313422078234591	no	#4A74A9	Autophagy
C71	G30	0.528573799583695	no	#4A74A9	Autophagy
C73	C74	0.426572934115899	no	#4A74A9	Autophagy
C73	K13	0.300118066368547	no	#4A74A9	Autophagy
C73	L20	0.341770369342335	no	#4A74A9	Autophagy
C73	M60	0.268873875593518	no	#4A74A9	Autophagy
C73	N30	0.444939883780023	no	#4A74A9	Autophagy
C73	T86	0.250019800463108	no	#4A74A9	Autophagy
C79	E28	-0.013502430572246	no	#B64539	Autophagy
C79	G10	-0.0145575567423943	no	#B64539	Autophagy
C79	M47	-0.0105049055337044	no	#B64539	Autophagy
C92	J32	-0.0286738138604209	no	#B64539	Autophagy
D45	D47	0.362929279897567	yes	#4A74A9	Autophagy
D45	D75	0.398991209969563	yes	#4A74A9	Autophagy
D46	I48	-0.0947891923653897	no	#B64539	Autophagy
D47	D75	0.363450109311643	yes	#4A74A9	Autophagy
D57	D75	0.258588538889677	no	#4A74A9	Autophagy
D82	R65	1	no	#4A74A9	Autophagy
E11	N80	-0.121519133492941	no	#B64539	Autophagy
E28	Q96	0.1266791201107	no	#4A74A9	Autophagy
F17	N80	0.204581593640855	no	#4A74A9	Autophagy
F20	G30	0.227390473200599	no	#4A74A9	Autophagy
F20	J32	0.035988429960403	no	#4A74A9	Autophagy
F31	G30	0.136227749381477	no	#4A74A9	Autophagy
F31	I48	-0.0203027912548111	no	#B64539	Autophagy
F31	J32	0.0291831402741762	no	#4A74A9	Autophagy
F33	J32	0.0177297662122539	no	#4A74A9	Autophagy
F33	L20	0.0133661710768091	no	#4A74A9	Autophagy
F33	M35	-0.00225642995024101	no	#B64539	Autophagy
G12	I63	-1.72183602784617e-17	no	#B64539	Autophagy
G20	J32	-0.0675687904584099	no	#B64539	Autophagy
I21	M32	0.187587263210536	no	#4A74A9	Autophagy
I21	N19	0.119138801302402	yes	#4A74A9	Autophagy
I21	N80	0.086058184005654	no	#4A74A9	Autophagy
I48	K12	-0.0230945266842009	no	#B64539	Autophagy
J44	R65	0.0891117981711677	no	#4A74A9	Autophagy
