Disease1	Disease2	weight	comorbid	colors	pathway
A71	B19	0.422520066495761	no	#4A74A9	Autophagy
A71	C73	0.466222921620474	no	#4A74A9	Autophagy
A71	K51	0.535141676213446	no	#4A74A9	Autophagy
A71	K58	0.626126174660406	no	#4A74A9	Autophagy
A71	Q98	0.297227826796023	no	#4A74A9	Autophagy
A90	C25	0.184394171106552	no	#4A74A9	Autophagy
A90	R65	0.355766683229896	no	#4A74A9	Autophagy
B19	B44	0.673975641892389	no	#4A74A9	Autophagy
B19	D86	0.580609018821191	no	#4A74A9	Autophagy
B19	F31	-0.608933704905739	no	#B64539	Autophagy
B19	M47	0.549849256858972	no	#4A74A9	Autophagy
B44	D47	0.792548101507093	no	#4A74A9	Autophagy
C11	I73	-0.794830380799669	no	#B64539	Autophagy
C11	M47	-0.750086769480061	no	#B64539	Autophagy
C14	C73	0.57777891970648	no	#4A74A9	Autophagy
C14	K13	0.694411072848856	no	#4A74A9	Autophagy
C15	C18	0.432973706135702	no	#4A74A9	Autophagy
C15	C34	0.567438613479712	no	#4A74A9	Autophagy
C15	L40	0.442975675208229	no	#4A74A9	Autophagy
C16	C18	0.457404005835581	no	#4A74A9	Autophagy
C16	C25	0.471581736583408	no	#4A74A9	Autophagy
C16	F31	0.477962035207271	no	#4A74A9	Autophagy
C18	D86	-0.50710073980672	no	#B64539	Autophagy
C18	M47	-0.550809370668698	no	#B64539	Autophagy
C22	C34	0.427286707614451	no	#4A74A9	Autophagy
C22	C74	0.391807265978268	no	#4A74A9	Autophagy
C22	K70	0.533766320802744	yes	#4A74A9	Autophagy
C34	C38	0.482160233516243	yes	#4A74A9	Autophagy
C34	C92	0.386965276182402	no	#4A74A9	Autophagy
C34	K50	0.513199360938993	no	#4A74A9	Autophagy
C49	C71	0.795811038202704	no	#4A74A9	Autophagy
C49	G20	0.586294438184294	no	#4A74A9	Autophagy
C64	G20	0.319087791781451	no	#4A74A9	Autophagy
C67	D82	0.446164098478468	no	#4A74A9	Autophagy
C67	R65	0.551141958772052	no	#4A74A9	Autophagy
C71	F20	0.409601170514482	no	#4A74A9	Autophagy
C71	G20	0.436686135634869	no	#4A74A9	Autophagy
C71	G30	0.555116161876891	no	#4A74A9	Autophagy
C73	F17	0.442372456189476	no	#4A74A9	Autophagy
C73	J45	0.302792956325401	no	#4A74A9	Autophagy
C73	K13	0.528599744352278	no	#4A74A9	Autophagy
C73	K70	0.316230156509091	no	#4A74A9	Autophagy
C73	L40	0.387070026675857	no	#4A74A9	Autophagy
C73	L70	0.471449193034697	no	#4A74A9	Autophagy
C84	D46	0.549432909504014	no	#4A74A9	Autophagy
C84	F20	0.623416019082201	no	#4A74A9	Autophagy
C84	G30	0.496325154052138	no	#4A74A9	Autophagy
C84	M35	0.482876144422896	no	#4A74A9	Autophagy
C92	G20	0.386018474006034	no	#4A74A9	Autophagy
C92	I63	-0.56106152280038	no	#B64539	Autophagy
C93	D82	-0.6002246210606	no	#B64539	Autophagy
D45	D47	0.829144060060001	yes	#4A74A9	Autophagy
D45	D75	0.941782704489567	yes	#4A74A9	Autophagy
D45	D82	0.477054955177507	no	#4A74A9	Autophagy
D45	D86	0.647509726073588	no	#4A74A9	Autophagy
D45	M47	0.718660179342107	no	#4A74A9	Autophagy
D45	N19	0.538235055840004	no	#4A74A9	Autophagy
D46	I63	-0.593190275411048	no	#B64539	Autophagy
D47	D75	0.870373952814312	yes	#4A74A9	Autophagy
D47	N19	0.57454648229135	no	#4A74A9	Autophagy
D75	N19	0.664018225435606	no	#4A74A9	Autophagy
D82	F84	-0.461525732672813	no	#B64539	Autophagy
D82	I21	0.47645624777513	no	#4A74A9	Autophagy
D82	M47	0.512045884218022	no	#4A74A9	Autophagy
D82	R65	0.522441641036866	no	#4A74A9	Autophagy
D86	R65	0.392583030297314	no	#4A74A9	Autophagy
E10	E11	0.767881831965351	yes	#4A74A9	Autophagy
F20	G30	0.822814835732255	no	#4A74A9	Autophagy
F84	R65	-0.600435690155554	no	#B64539	Autophagy
G20	G30	0.781885312158561	no	#4A74A9	Autophagy
H31	R65	0.447700441278039	no	#4A74A9	Autophagy
I21	R65	0.780656809223379	no	#4A74A9	Autophagy
I48	L82	0.88785837796534	no	#4A74A9	Autophagy
K50	L40	0.476568636369801	no	#4A74A9	Autophagy
K51	L40	0.476269452911751	no	#4A74A9	Autophagy
K51	L70	0.532975340661328	yes	#4A74A9	Autophagy
K58	L40	0.446792590732258	no	#4A74A9	Autophagy
K58	L70	0.449575826416264	no	#4A74A9	Autophagy
L40	L70	0.580352509328494	no	#4A74A9	Autophagy
L40	L71	0.491782736534442	yes	#4A74A9	Autophagy
L70	L82	-0.577053935763728	no	#B64539	Autophagy
M47	R65	0.665253824950867	no	#4A74A9	Autophagy
A71	A90	0.27102273461237	no	#4A74A9	Cell Cycle
A71	B19	0.428001862449428	no	#4A74A9	Cell Cycle
A71	B44	0.501828402948286	no	#4A74A9	Cell Cycle
A71	C11	0.113538782274573	no	#4A74A9	Cell Cycle
A71	C14	0.28712799522243	no	#4A74A9	Cell Cycle
A71	C15	0.327611108942026	no	#4A74A9	Cell Cycle
A71	C16	0.0799067055161686	no	#4A74A9	Cell Cycle
A71	C18	0.0803519414332004	no	#4A74A9	Cell Cycle
A71	C22	0.145137555140351	no	#4A74A9	Cell Cycle
A71	C25	0.109441475945115	no	#4A74A9	Cell Cycle
A71	C34	0.233943131001146	no	#4A74A9	Cell Cycle
A71	C38	0.270037263491974	no	#4A74A9	Cell Cycle
A71	C49	0.182574682600617	no	#4A74A9	Cell Cycle
A71	C64	0.202537897645224	no	#4A74A9	Cell Cycle
A71	C67	0.423325679792805	no	#4A74A9	Cell Cycle
A71	C73	0.474676309465756	no	#4A74A9	Cell Cycle
A71	C74	0.20315115881789	no	#4A74A9	Cell Cycle
A71	C84	0.296140759014337	no	#4A74A9	Cell Cycle
A71	C90	0.325491904184235	no	#4A74A9	Cell Cycle
A71	D86	0.42511275534451	no	#4A74A9	Cell Cycle
A71	F17	0.328197604851253	no	#4A74A9	Cell Cycle
A71	G35	-0.290943447705451	no	#B64539	Cell Cycle
A71	I21	0.350910680041755	no	#4A74A9	Cell Cycle
A71	I48	-0.409758081155105	no	#B64539	Cell Cycle
A71	J45	-0.362886235169911	no	#B64539	Cell Cycle
A71	K12	0.265102173088287	no	#4A74A9	Cell Cycle
A71	K13	0.182256819147685	no	#4A74A9	Cell Cycle
A71	K50	0.219627797754348	no	#4A74A9	Cell Cycle
A71	K58	0.283360472831961	no	#4A74A9	Cell Cycle
A71	K70	0.0412360613385915	no	#4A74A9	Cell Cycle
A71	L40	0.284502582738502	no	#4A74A9	Cell Cycle
A71	L70	0.30772076808164	no	#4A74A9	Cell Cycle
A71	L71	0.468053800480691	no	#4A74A9	Cell Cycle
A71	L82	-0.32792369062599	no	#B64539	Cell Cycle
A71	N02	0.0296667209361183	no	#4A74A9	Cell Cycle
A71	Q98	0.236478139036058	no	#4A74A9	Cell Cycle
A71	R65	0.349711456486768	no	#4A74A9	Cell Cycle
A90	B17	-0.350927662319883	no	#B64539	Cell Cycle
A90	B19	0.427489117702468	no	#4A74A9	Cell Cycle
A90	C11	0.684545252025663	no	#4A74A9	Cell Cycle
A90	C14	0.518496283017423	no	#4A74A9	Cell Cycle
A90	C15	0.724624739310759	no	#4A74A9	Cell Cycle
A90	C16	0.517920918222469	no	#4A74A9	Cell Cycle
A90	C18	0.505627705498309	no	#4A74A9	Cell Cycle
A90	C22	0.570988628304799	no	#4A74A9	Cell Cycle
A90	C25	0.462165563105369	no	#4A74A9	Cell Cycle
A90	C34	0.68322288833132	no	#4A74A9	Cell Cycle
