Disease1	Disease2	weight	comorbid	colors	pathway
A71	N80	0.45378668351323	no	#4A74A9	Autophagy
A71	Q96	0.576295037181049	no	#4A74A9	Autophagy
A90	R65	0.537487161547147	no	#4A74A9	Autophagy
B17	M32	-0.627767693443199	no	#B64539	Autophagy
B44	C22	-0.647937550263799	no	#B64539	Autophagy
B44	C56	-0.55936971566506	no	#B64539	Autophagy
C14	C43	0.536171293922478	no	#4A74A9	Autophagy
C14	C73	0.529057063196906	no	#4A74A9	Autophagy
C14	K13	0.708567690919835	no	#4A74A9	Autophagy
C16	C18	0.521773332048359	no	#4A74A9	Autophagy
C16	C25	0.563249502741101	no	#4A74A9	Autophagy
C18	C64	0.387937488853952	no	#4A74A9	Autophagy
C18	K51	0.502856934065632	no	#4A74A9	Autophagy
C18	K58	0.56315165575166	no	#4A74A9	Autophagy
C22	C34	0.57459687676579	no	#4A74A9	Autophagy
C22	C50	0.564356936485033	no	#4A74A9	Autophagy
C22	C56	0.501643879716219	no	#4A74A9	Autophagy
C22	C91	0.480071588223646	no	#4A74A9	Autophagy
C34	C38	0.599188350584671	yes	#4A74A9	Autophagy
C34	C50	0.682433108036211	no	#4A74A9	Autophagy
C34	C56	0.618796956073479	no	#4A74A9	Autophagy
C34	C91	0.559612208236259	no	#4A74A9	Autophagy
C34	F31	-0.588980969826587	no	#B64539	Autophagy
C34	J32	0.519416514924416	no	#4A74A9	Autophagy
C50	C56	0.613811606458037	no	#4A74A9	Autophagy
C56	F31	-0.583749081745966	no	#B64539	Autophagy
C56	I42	-0.555652398591758	no	#B64539	Autophagy
C71	F20	0.628456802723864	no	#4A74A9	Autophagy
C71	G30	0.655630024016483	no	#4A74A9	Autophagy
C73	L20	0.471215781930737	no	#4A74A9	Autophagy
C73	M60	0.489103469035204	no	#4A74A9	Autophagy
C91	E10	-0.57581967630758	no	#B64539	Autophagy
C91	F31	-0.638050447947518	no	#B64539	Autophagy
D45	D47	0.932897877497441	yes	#4A74A9	Autophagy
D45	D75	0.793311128028283	yes	#4A74A9	Autophagy
D47	D75	0.752996849996268	yes	#4A74A9	Autophagy
D82	R65	0.66075282657219	no	#4A74A9	Autophagy
E11	N80	-0.55242781020471	no	#B64539	Autophagy
E28	Q96	0.70221164109771	no	#4A74A9	Autophagy
F17	N80	0.609170311940842	no	#4A74A9	Autophagy
F20	G30	0.839965452378395	no	#4A74A9	Autophagy
F31	G30	0.66353917343299	no	#4A74A9	Autophagy
F31	Q96	0.61917563650973	no	#4A74A9	Autophagy
F33	Q96	0.69181146021605	no	#4A74A9	Autophagy
I21	M32	0.690939082126533	no	#4A74A9	Autophagy
I21	N19	0.632474727263008	yes	#4A74A9	Autophagy
I42	M32	-0.571592587547455	no	#B64539	Autophagy
J44	R65	0.589177636662318	no	#4A74A9	Autophagy
J45	N80	-0.681585701028297	no	#B64539	Autophagy
J45	Q96	-0.618124649813787	no	#B64539	Autophagy
K12	N30	0.591905150140813	no	#4A74A9	Autophagy
K50	L40	0.477032721427852	yes	#4A74A9	Autophagy
K51	K58	0.842314927791946	yes	#4A74A9	Autophagy
K51	L40	0.582859239828223	no	#4A74A9	Autophagy
K58	N30	0.538022707011971	no	#4A74A9	Autophagy
L71	Q82	-0.49213453449936	no	#B64539	Autophagy
M32	N19	0.517775490183939	yes	#4A74A9	Autophagy
M32	R65	0.448408772559216	no	#4A74A9	Autophagy
M35	N19	-0.595216550288764	no	#B64539	Autophagy
M35	N80	-0.515671902249493	no	#B64539	Autophagy
N19	N80	0.633187794723825	no	#4A74A9	Autophagy
N80	Q96	0.556847194347461	no	#4A74A9	Autophagy
A71	A90	0.386397530313612	no	#4A74A9	Cell Cycle
A71	C14	0.325771470794708	no	#4A74A9	Cell Cycle
A71	C16	0.259791860231726	no	#4A74A9	Cell Cycle
A71	C22	0.292675927946221	no	#4A74A9	Cell Cycle
A71	C34	0.325112132072743	no	#4A74A9	Cell Cycle
A71	C38	0.432788631285838	no	#4A74A9	Cell Cycle
A71	C43	0.508036908292423	no	#4A74A9	Cell Cycle
A71	C50	0.344470698507555	no	#4A74A9	Cell Cycle
A71	C56	0.36781949173828	no	#4A74A9	Cell Cycle
A71	C64	0.265554803950999	no	#4A74A9	Cell Cycle
A71	C67	0.418918416581824	no	#4A74A9	Cell Cycle
A71	C73	0.56235156549842	no	#4A74A9	Cell Cycle
A71	C74	0.388825960735036	no	#4A74A9	Cell Cycle
A71	C79	0.353261709148158	no	#4A74A9	Cell Cycle
A71	C92	-0.337280512393955	no	#B64539	Cell Cycle
A71	F17	0.340508105976133	no	#4A74A9	Cell Cycle
A71	I21	0.550894770471168	no	#4A74A9	Cell Cycle
A71	J32	0.415092426245653	no	#4A74A9	Cell Cycle
A71	J44	0.336772160227101	no	#4A74A9	Cell Cycle
A71	J45	-0.373555730764804	no	#B64539	Cell Cycle
A71	K50	0.374591549888126	no	#4A74A9	Cell Cycle
A71	K51	0.424218137135848	no	#4A74A9	Cell Cycle
A71	K58	0.41071643542611	no	#4A74A9	Cell Cycle
A71	L20	0.518678290276458	no	#4A74A9	Cell Cycle
A71	L40	0.473958029487835	no	#4A74A9	Cell Cycle
A71	M32	0.373066291422453	no	#4A74A9	Cell Cycle
A71	M47	0.338011817650969	no	#4A74A9	Cell Cycle
A71	M60	0.37572776355396	no	#4A74A9	Cell Cycle
A71	N19	0.309178241158886	no	#4A74A9	Cell Cycle
A71	N30	0.56599272850711	no	#4A74A9	Cell Cycle
A71	N80	0.286331556410881	no	#4A74A9	Cell Cycle
A71	Q96	0.400490959154697	no	#4A74A9	Cell Cycle
A71	R65	0.417922266867248	no	#4A74A9	Cell Cycle
A90	C11	0.372604925263699	no	#4A74A9	Cell Cycle
A90	C14	0.405394664001452	no	#4A74A9	Cell Cycle
A90	C16	0.436332252711848	no	#4A74A9	Cell Cycle
A90	C18	0.27968482616251	no	#4A74A9	Cell Cycle
A90	C22	0.495961124424535	no	#4A74A9	Cell Cycle
A90	C25	0.286211334903502	no	#4A74A9	Cell Cycle
A90	C34	0.512465394963034	no	#4A74A9	Cell Cycle
A90	C38	0.375860342708615	no	#4A74A9	Cell Cycle
A90	C50	0.536467662419455	no	#4A74A9	Cell Cycle
A90	C53	0.333023777958225	no	#4A74A9	Cell Cycle
A90	C56	0.445391406673708	no	#4A74A9	Cell Cycle
A90	C64	0.215906691079473	no	#4A74A9	Cell Cycle
A90	C73	0.510116766617208	no	#4A74A9	Cell Cycle
A90	C74	0.483317055222635	no	#4A74A9	Cell Cycle
A90	C79	0.36544165971574	no	#4A74A9	Cell Cycle
A90	D45	0.352703997284785	no	#4A74A9	Cell Cycle
A90	D47	0.301874581817931	no	#4A74A9	Cell Cycle
A90	D75	0.462310962823821	no	#4A74A9	Cell Cycle
A90	D82	0.244439850777085	no	#4A74A9	Cell Cycle
A90	D86	0.403634491289421	no	#4A74A9	Cell Cycle
A90	G10	-0.346646800314974	no	#B64539	Cell Cycle
A90	G12	0.375405632184543	no	#4A74A9	Cell Cycle
A90	J32	0.351993506564445	no	#4A74A9	Cell Cycle
A90	J44	0.345717562030664	no	#4A74A9	Cell Cycle
A90	K50	0.541658389000329	no	#4A74A9	Cell Cycle
A90	K51	0.303821332523817	no	#4A74A9	Cell Cycle
A90	L20	0.381991497611833	no	#4A74A9	Cell Cycle
A90	L40	0.604503200089526	no	#4A74A9	Cell Cycle
A90	M32	0.512693516571672	no	#4A74A9	Cell Cycle
A90	N30	0.314926469527144	no	#4A74A9	Cell Cycle
A90	R65	0.636039366550009	no	#4A74A9	Cell Cycle
B17	D46	-0.617041092405684	no	#B64539	Cell Cycle
B17	D86	0.423678722787074	no	#4A74A9	Cell Cycle
B17	M32	-0.413778728143547	no	#B64539	Cell Cycle
B17	Q96	-0.518561120150427	no	#B64539	Cell Cycle
B44	C11	-0.492958469623182	no	#B64539	Cell Cycle
B44	C14	-0.267860199908837	no	#B64539	Cell Cycle
B44	C16	-0.496780568203662	no	#B64539	Cell Cycle
B44	C18	-0.383249039057723	no	#B64539	Cell Cycle
B44	C22	-0.594204649801817	no	#B64539	Cell Cycle
B44	C25	-0.317652241286481	no	#B64539	Cell Cycle
B44	C34	-0.569152820741259	no	#B64539	Cell Cycle
B44	C50	-0.591464940519036	no	#B64539	Cell Cycle
B44	C53	-0.464587798420031	no	#B64539	Cell Cycle
B44	C56	-0.429073789803492	no	#B64539	Cell Cycle
B44	C64	-0.293650285228599	no	#B64539	Cell Cycle
B44	C73	-0.404377519419233	no	#B64539	Cell Cycle
B44	C79	-0.617426691885172	no	#B64539	Cell Cycle
B44	D75	-0.657165776102839	no	#B64539	Cell Cycle
B44	K51	-0.345254659125549	no	#B64539	Cell Cycle
B44	L40	-0.501755655736791	no	#B64539	Cell Cycle
B44	N80	0.37281213597632	no	#4A74A9	Cell Cycle
C11	C14	0.362449531276644	yes	#4A74A9	Cell Cycle
C11	C16	0.552532551816558	no	#4A74A9	Cell Cycle
C11	C18	0.555943137669501	no	#4A74A9	Cell Cycle
C11	C22	0.434319409944629	no	#4A74A9	Cell Cycle
C11	C25	0.233646955520747	no	#4A74A9	Cell Cycle
C11	C34	0.551191483089742	no	#4A74A9	Cell Cycle
