Disease1	Disease2	weight	comorbid	colors	pathway
A71	C73	0.405104495092357	no	#4A74A9	Autophagy
A71	K58	0.293246795014044	no	#4A74A9	Autophagy
B17	R65	-0.238584425098489	no	#B64539	Autophagy
B19	B44	0.328229549437357	no	#4A74A9	Autophagy
B19	G35	-0.280015236067278	no	#B64539	Autophagy
B19	G71	0.38989255523786	no	#4A74A9	Autophagy
B19	I21	0.204325997784018	no	#4A74A9	Autophagy
B19	I42	-0.292999072684224	no	#B64539	Autophagy
B19	I48	-0.257670869159745	no	#B64539	Autophagy
B19	M47	0.291782806742554	no	#4A74A9	Autophagy
C11	C18	0.459750864817085	no	#4A74A9	Autophagy
C11	C34	0.6099918077305	no	#4A74A9	Autophagy
C11	I21	-0.0113741429085492	no	#B64539	Autophagy
C14	K12	0.460654344015001	no	#4A74A9	Autophagy
C14	K13	0.66143150151547	no	#4A74A9	Autophagy
C14	K58	0.3818396613216	no	#4A74A9	Autophagy
C15	C18	0.487464677464191	no	#4A74A9	Autophagy
C15	C34	0.816564469191707	no	#4A74A9	Autophagy
C15	L40	0.454118683844043	no	#4A74A9	Autophagy
C18	C34	0.644393627271972	no	#4A74A9	Autophagy
C18	C93	0.545204734126049	no	#4A74A9	Autophagy
C18	D45	-0.411827287234134	no	#B64539	Autophagy
C18	K51	0.404089367096392	no	#4A74A9	Autophagy
C18	M47	-0.435402133313691	no	#B64539	Autophagy
C22	C34	0.463834394712774	no	#4A74A9	Autophagy
C22	K70	0.478941913269105	yes	#4A74A9	Autophagy
C25	D47	-0.370975130236149	no	#B64539	Autophagy
C34	C38	0.512655155288498	yes	#4A74A9	Autophagy
C34	C73	0.47906430740151	no	#4A74A9	Autophagy
C34	J32	0.437692680030068	no	#4A74A9	Autophagy
C34	K50	0.436474666232202	no	#4A74A9	Autophagy
C34	L40	0.589882803313266	no	#4A74A9	Autophagy
C38	R65	-0.36805593187902	no	#B64539	Autophagy
C49	C71	1	no	#4A74A9	Autophagy
C61	Q87	-0.00676343482133296	no	#B64539	Autophagy
C67	C93	-0.0719007887175213	no	#B64539	Autophagy
C73	K58	0.408905354902847	no	#4A74A9	Autophagy
C82	K13	-0.14673648321907	no	#B64539	Autophagy
C84	H31	0.215366507348517	no	#4A74A9	Autophagy
C92	E10	-0.0313388072962917	no	#B64539	Autophagy
C92	F84	-0.000932072503163787	no	#B64539	Autophagy
C93	D82	-0.452014500195259	no	#B64539	Autophagy
C93	I73	-0.0134652127129039	no	#B64539	Autophagy
C93	R65	-0.399515507629784	no	#B64539	Autophagy
D45	D47	0.348275369819758	yes	#4A74A9	Autophagy
D45	D75	0.593659270010408	yes	#4A74A9	Autophagy
D45	D86	0.381608310590398	no	#4A74A9	Autophagy
D45	M47	0.353733395352516	no	#4A74A9	Autophagy
D45	N19	0.371697731267435	no	#4A74A9	Autophagy
D47	D75	0.173216941767822	yes	#4A74A9	Autophagy
D75	N19	0.409018277869069	no	#4A74A9	Autophagy
D82	F84	-0.124943461165859	no	#B64539	Autophagy
D86	I48	-0.0743645145587091	no	#B64539	Autophagy
D86	R65	0.480031137459482	no	#4A74A9	Autophagy
E10	E11	-0.0101678036990627	no	#B64539	Autophagy
F20	G30	0.229657010148595	no	#4A74A9	Autophagy
G10	G30	0.291651303921668	no	#4A74A9	Autophagy
G20	G30	0.462198680545944	no	#4A74A9	Autophagy
G35	N02	-0.0332987748225691	no	#B64539	Autophagy
I21	R65	0.24998904541673	no	#4A74A9	Autophagy
K50	L40	0.577839143495377	no	#4A74A9	Autophagy
K50	L70	0.337032134740311	yes	#4A74A9	Autophagy
K51	L40	0.487366152456991	no	#4A74A9	Autophagy
L40	L70	0.624586234715689	no	#4A74A9	Autophagy
L40	L71	0.686239652374933	yes	#4A74A9	Autophagy
L70	L82	-0.37653326037059	no	#B64539	Autophagy
M47	R65	0.542127845662726	no	#4A74A9	Autophagy
A71	B19	0.365012142306969	no	#4A74A9	Cell Cycle
A71	B44	0.225278115479793	no	#4A74A9	Cell Cycle
A71	C14	0.2802663619213	no	#4A74A9	Cell Cycle
A71	C67	0.203064842177807	no	#4A74A9	Cell Cycle
A71	C73	0.31227893331952	no	#4A74A9	Cell Cycle
A71	C82	-0.14739900918329	no	#B64539	Cell Cycle
A71	C92	-0.139956458860766	no	#B64539	Cell Cycle
A71	D86	0.144895636214528	no	#4A74A9	Cell Cycle
