Disease1	Disease2	weight	comorbid	colors	pathway
A71	C73	0.724004068734722	no	#4A74A9	Autophagy
B19	L71	0.776390011083506	no	#4A74A9	Autophagy
C11	I63	-0.837463773535697	no	#B64539	Autophagy
C11	L70	-0.365289723058635	no	#B64539	Autophagy
C11	N19	-0.557000991029375	no	#B64539	Autophagy
C14	C73	0.754134499958423	no	#4A74A9	Autophagy
C14	K12	0.777385934739107	no	#4A74A9	Autophagy
C14	K13	0.904410959055495	no	#4A74A9	Autophagy
C15	C34	0.868753115505365	no	#4A74A9	Autophagy
C15	L40	0.803419010619645	no	#4A74A9	Autophagy
C16	C18	0.750501804867605	no	#4A74A9	Autophagy
C16	C25	0.824558226103035	no	#4A74A9	Autophagy
C16	C64	0.598635801901702	no	#4A74A9	Autophagy
C16	N02	0.993684440751498	no	#4A74A9	Autophagy
C18	D45	-0.680686958177881	no	#B64539	Autophagy
C22	C34	0.499000793952259	no	#4A74A9	Autophagy
C22	K70	0.743629784270981	yes	#4A74A9	Autophagy
C25	L70	0.397449242365357	no	#4A74A9	Autophagy
C34	C38	0.553634649447904	yes	#4A74A9	Autophagy
C49	C64	0.561109117655369	no	#4A74A9	Autophagy
C49	C71	0.854941682049738	no	#4A74A9	Autophagy
C64	G30	0.35642154101833	no	#4A74A9	Autophagy
C71	G30	0.637018475760799	no	#4A74A9	Autophagy
C73	K13	0.870570121638069	no	#4A74A9	Autophagy
C73	L40	0.623494831469626	no	#4A74A9	Autophagy
C73	L70	0.701268166588229	no	#4A74A9	Autophagy
C84	D45	0.730384228263379	no	#4A74A9	Autophagy
C84	G30	0.775513545490275	no	#4A74A9	Autophagy
C92	K12	0.77962482157005	yes	#4A74A9	Autophagy
D45	D82	0.753640110061226	no	#4A74A9	Autophagy
D45	R65	0.767243428709202	no	#4A74A9	Autophagy
D82	R65	0.714489240040387	no	#4A74A9	Autophagy
F17	Q98	0.99813573182625	no	#4A74A9	Autophagy
F20	I42	-0.370907890704291	no	#B64539	Autophagy
G71	I48	-0.990392063529445	no	#B64539	Autophagy
L40	L70	0.803340229365507	no	#4A74A9	Autophagy
A71	B19	0.817214798841121	no	#4A74A9	Cell Cycle
A71	C14	0.330026048220774	no	#4A74A9	Cell Cycle
A71	C15	0.40773969244512	no	#4A74A9	Cell Cycle
A71	C34	0.10622041222508	no	#4A74A9	Cell Cycle
A71	C38	0.247562117254772	no	#4A74A9	Cell Cycle
A71	C64	0.16226168752958	no	#4A74A9	Cell Cycle
A71	C73	0.698141600644948	no	#4A74A9	Cell Cycle
A71	L40	0.225338151248564	no	#4A74A9	Cell Cycle
A71	L70	0.374184833240592	no	#4A74A9	Cell Cycle
A71	L71	0.657623886441098	no	#4A74A9	Cell Cycle
A71	R65	0.561435549061673	no	#4A74A9	Cell Cycle
A90	C15	0.778577561000768	no	#4A74A9	Cell Cycle
A90	C34	0.58735987175709	no	#4A74A9	Cell Cycle
A90	C73	0.634283646316383	no	#4A74A9	Cell Cycle
A90	C84	0.755845967933749	no	#4A74A9	Cell Cycle
A90	D45	0.595014806362938	no	#4A74A9	Cell Cycle
A90	D47	0.681638784599637	no	#4A74A9	Cell Cycle
A90	I48	-0.417924242770141	no	#B64539	Cell Cycle
A90	L40	0.726312870395227	no	#4A74A9	Cell Cycle
A90	L70	0.696491247763038	no	#4A74A9	Cell Cycle
A90	L71	0.600016244939429	no	#4A74A9	Cell Cycle
A90	R65	0.782075773244776	no	#4A74A9	Cell Cycle
B17	G30	0.76463836395741	no	#4A74A9	Cell Cycle
B19	C14	0.596093130133284	no	#4A74A9	Cell Cycle
B19	C15	0.779673164344554	no	#4A74A9	Cell Cycle
B19	C16	0.492670378059214	no	#4A74A9	Cell Cycle
B19	C18	0.374633001818471	no	#4A74A9	Cell Cycle
B19	C22	0.503560444532551	no	#4A74A9	Cell Cycle
B19	C25	0.499967155996862	no	#4A74A9	Cell Cycle
B19	C34	0.471078346966289	no	#4A74A9	Cell Cycle
B19	C38	0.511956340946516	no	#4A74A9	Cell Cycle
B19	C49	0.508864170351528	no	#4A74A9	Cell Cycle
B19	C64	0.504579902258309	no	#4A74A9	Cell Cycle
B19	C67	0.88385331414695	no	#4A74A9	Cell Cycle
B19	C73	0.798348368696724	no	#4A74A9	Cell Cycle
B19	C74	0.745725614786108	no	#4A74A9	Cell Cycle
B19	C84	0.593214409484718	no	#4A74A9	Cell Cycle
B19	D47	0.417100441969776	no	#4A74A9	Cell Cycle
B19	F20	0.514811803583521	no	#4A74A9	Cell Cycle
B19	G71	0.500529767125757	no	#4A74A9	Cell Cycle
B19	K13	0.689546205492324	no	#4A74A9	Cell Cycle
B19	K70	0.538349306386808	yes	#4A74A9	Cell Cycle
B19	L40	0.451936956708737	no	#4A74A9	Cell Cycle
B19	L70	0.6186838174031	no	#4A74A9	Cell Cycle
C11	C14	0.844748568245522	yes	#4A74A9	Cell Cycle
C11	C15	0.931940208251703	no	#4A74A9	Cell Cycle
C11	C16	0.850399508158911	no	#4A74A9	Cell Cycle
C11	C18	0.891856914033463	no	#4A74A9	Cell Cycle
C11	C22	0.806744323341362	no	#4A74A9	Cell Cycle
C11	C34	0.872499791305895	no	#4A74A9	Cell Cycle
C11	C38	0.864741505253494	no	#4A74A9	Cell Cycle
C11	C49	0.918036245282708	no	#4A74A9	Cell Cycle
C11	C64	0.798153220767917	no	#4A74A9	Cell Cycle
C11	C71	0.849392656880204	no	#4A74A9	Cell Cycle
C11	C73	0.794204430841745	no	#4A74A9	Cell Cycle
C11	C74	0.926377775132784	no	#4A74A9	Cell Cycle
C11	C84	0.838567286918233	no	#4A74A9	Cell Cycle
C11	I48	0.676925014079629	no	#4A74A9	Cell Cycle
C11	L40	0.831144999014834	no	#4A74A9	Cell Cycle
C11	L70	0.814694039872914	no	#4A74A9	Cell Cycle
C11	L71	0.824045607064497	no	#4A74A9	Cell Cycle
C14	C15	0.868760832756703	no	#4A74A9	Cell Cycle
C14	C16	0.813954559113182	no	#4A74A9	Cell Cycle
C14	C18	0.730678539129638	no	#4A74A9	Cell Cycle
C14	C22	0.715481406383182	no	#4A74A9	Cell Cycle
C14	C25	0.672932584493891	no	#4A74A9	Cell Cycle
C14	C34	0.731740470545252	no	#4A74A9	Cell Cycle
C14	C38	0.773230087566384	no	#4A74A9	Cell Cycle
C14	C49	0.678183688718968	no	#4A74A9	Cell Cycle
C14	C64	0.637198506788551	no	#4A74A9	Cell Cycle
C14	C67	0.869927555871924	no	#4A74A9	Cell Cycle
C14	C71	0.689912633360724	no	#4A74A9	Cell Cycle
C14	C73	0.78936704936655	no	#4A74A9	Cell Cycle
C14	C74	0.810865052967251	no	#4A74A9	Cell Cycle
C14	C84	0.472015460581679	no	#4A74A9	Cell Cycle
C14	G71	0.199840492230822	no	#4A74A9	Cell Cycle
C14	K12	0.763856965822053	no	#4A74A9	Cell Cycle
C14	K13	0.955535580834828	no	#4A74A9	Cell Cycle
C14	K58	0.994415251621489	no	#4A74A9	Cell Cycle
C14	K70	0.690798224262516	no	#4A74A9	Cell Cycle
C14	L40	0.691766269672422	no	#4A74A9	Cell Cycle
C14	L70	0.820729788533057	no	#4A74A9	Cell Cycle
C14	L71	0.54460933475028	no	#4A74A9	Cell Cycle
C14	Q98	0.666256590605585	no	#4A74A9	Cell Cycle
C15	C16	0.865458869857016	yes	#4A74A9	Cell Cycle
C15	C18	0.869114477166902	no	#4A74A9	Cell Cycle
C15	C22	0.864704179188866	no	#4A74A9	Cell Cycle
C15	C25	0.763514239807354	no	#4A74A9	Cell Cycle
C15	C34	0.91139246414929	no	#4A74A9	Cell Cycle
C15	C38	0.782646562832779	no	#4A74A9	Cell Cycle
C15	C49	0.854816168512731	no	#4A74A9	Cell Cycle
C15	C64	0.762094377366873	no	#4A74A9	Cell Cycle
C15	C67	0.941132665196008	no	#4A74A9	Cell Cycle
C15	C71	0.743261696698934	no	#4A74A9	Cell Cycle
C15	C73	0.896343595565808	no	#4A74A9	Cell Cycle
C15	C74	0.912284253312458	no	#4A74A9	Cell Cycle
C15	C84	0.636885947756796	no	#4A74A9	Cell Cycle
C15	D46	0.996349436141246	no	#4A74A9	Cell Cycle
C15	D47	0.0277861987040164	no	#4A74A9	Cell Cycle
C15	D75	0.334622805925796	no	#4A74A9	Cell Cycle
C15	K70	0.761769860367572	no	#4A74A9	Cell Cycle
C15	L40	0.880401783490672	no	#4A74A9	Cell Cycle
C15	L70	0.898753513867266	no	#4A74A9	Cell Cycle
C15	L71	0.829490702056231	no	#4A74A9	Cell Cycle
C15	Q98	0.872516859405092	no	#4A74A9	Cell Cycle
C15	R65	0.29598862724409	no	#4A74A9	Cell Cycle
C16	C18	0.920879723434981	no	#4A74A9	Cell Cycle
C16	C22	0.855074556123522	no	#4A74A9	Cell Cycle
C16	C25	0.881070946094719	no	#4A74A9	Cell Cycle
C16	C34	0.83830705971394	no	#4A74A9	Cell Cycle
C16	C38	0.795896834989702	no	#4A74A9	Cell Cycle
C16	C49	0.743175923961283	yes	#4A74A9	Cell Cycle
C16	C64	0.785971204786988	no	#4A74A9	Cell Cycle
C16	C67	0.883835986249773	no	#4A74A9	Cell Cycle
C16	C71	0.719180893745457	no	#4A74A9	Cell Cycle
C16	C73	0.810924418509535	no	#4A74A9	Cell Cycle
C16	C74	0.90605114548246	no	#4A74A9	Cell Cycle
C16	C84	0.564284736977272	no	#4A74A9	Cell Cycle
C16	K70	0.831967498797286	no	#4A74A9	Cell Cycle
C16	L40	0.74507605099582	no	#4A74A9	Cell Cycle
C16	L70	0.768820456069986	no	#4A74A9	Cell Cycle
C16	L71	0.57778027210576	no	#4A74A9	Cell Cycle
C16	Q98	0.776468419167772	no	#4A74A9	Cell Cycle
C18	C22	0.762924496146856	no	#4A74A9	Cell Cycle
C18	C25	0.697791740671578	no	#4A74A9	Cell Cycle
C18	C34	0.8374872965287	no	#4A74A9	Cell Cycle
C18	C38	0.759417582734373	no	#4A74A9	Cell Cycle
C18	C49	0.686953575258704	no	#4A74A9	Cell Cycle
C18	C61	0.387286039783122	no	#4A74A9	Cell Cycle
C18	C64	0.68582382569846	no	#4A74A9	Cell Cycle
C18	C67	0.893844979449276	no	#4A74A9	Cell Cycle
C18	C71	0.668205383812472	no	#4A74A9	Cell Cycle
C18	C73	0.677376343033336	no	#4A74A9	Cell Cycle
C18	C74	0.858967381020454	no	#4A74A9	Cell Cycle
C18	C84	0.413361599080479	no	#4A74A9	Cell Cycle
C18	D45	-0.648992932025729	no	#B64539	Cell Cycle
C18	D82	-0.501052930157534	no	#B64539	Cell Cycle
C18	F20	-0.77452513357814	no	#B64539	Cell Cycle
C18	K70	0.689959294041887	no	#4A74A9	Cell Cycle
C18	L40	0.695588909632391	no	#4A74A9	Cell Cycle
C18	L70	0.7084536128642	no	#4A74A9	Cell Cycle
C18	L71	0.519889896118624	no	#4A74A9	Cell Cycle
C18	N19	-0.547230785220099	no	#B64539	Cell Cycle
C18	Q98	0.746492352110485	no	#4A74A9	Cell Cycle
C22	C25	0.787452554475456	no	#4A74A9	Cell Cycle
C22	C34	0.883930807857491	no	#4A74A9	Cell Cycle
C22	C38	0.777505192095741	no	#4A74A9	Cell Cycle
C22	C49	0.667350396674483	no	#4A74A9	Cell Cycle
C22	C64	0.668221032535204	no	#4A74A9	Cell Cycle
C22	C67	0.897251330661648	no	#4A74A9	Cell Cycle
C22	C71	0.596640396033492	no	#4A74A9	Cell Cycle
C22	C73	0.776366135336957	no	#4A74A9	Cell Cycle
C22	C74	0.918146381913629	no	#4A74A9	Cell Cycle
C22	C84	0.61116073926029	no	#4A74A9	Cell Cycle
C22	G71	0.113424656067812	no	#4A74A9	Cell Cycle
C22	I63	-0.372687927222353	no	#B64539	Cell Cycle
C22	K13	0.655957963153098	no	#4A74A9	Cell Cycle
C22	K70	0.828137891421124	yes	#4A74A9	Cell Cycle
C22	L40	0.743439111980348	no	#4A74A9	Cell Cycle
C22	L70	0.698344229444304	no	#4A74A9	Cell Cycle
C22	L71	0.569253577152277	no	#4A74A9	Cell Cycle
C22	N02	0.767262069477915	no	#4A74A9	Cell Cycle
C22	Q98	0.770053284410274	no	#4A74A9	Cell Cycle
C22	R65	0.124138414229324	no	#4A74A9	Cell Cycle
C25	C34	0.708276560103823	no	#4A74A9	Cell Cycle
C25	C38	0.677978497705149	no	#4A74A9	Cell Cycle
C25	C49	0.664316794668507	no	#4A74A9	Cell Cycle
C25	C64	0.744954267180846	no	#4A74A9	Cell Cycle
C25	C67	0.908283398196598	no	#4A74A9	Cell Cycle
C25	C71	0.613508582812266	no	#4A74A9	Cell Cycle
C25	C73	0.766323598601627	no	#4A74A9	Cell Cycle
C25	C74	0.867816975443215	no	#4A74A9	Cell Cycle
C25	C84	0.501466438706241	no	#4A74A9	Cell Cycle
C25	K70	0.779084707829027	no	#4A74A9	Cell Cycle
C25	L40	0.674408086190696	no	#4A74A9	Cell Cycle
C25	L70	0.613116715838828	no	#4A74A9	Cell Cycle
C25	L71	0.500350375106866	no	#4A74A9	Cell Cycle
C25	Q98	0.766287088535744	no	#4A74A9	Cell Cycle
C34	C38	0.814866123753873	yes	#4A74A9	Cell Cycle
C34	C49	0.733382631481172	no	#4A74A9	Cell Cycle
C34	C61	0.561580467588144	no	#4A74A9	Cell Cycle
C34	C64	0.619974001112441	no	#4A74A9	Cell Cycle
C34	C67	0.904992563314811	no	#4A74A9	Cell Cycle
C34	C71	0.623732604441841	yes	#4A74A9	Cell Cycle
C34	C73	0.796260042709659	no	#4A74A9	Cell Cycle
C34	C74	0.904894961130024	yes	#4A74A9	Cell Cycle
C34	C84	0.566582579732883	no	#4A74A9	Cell Cycle
C34	G71	0.253195954706551	no	#4A74A9	Cell Cycle
C34	K70	0.73324965539233	no	#4A74A9	Cell Cycle
C34	L40	0.815296080240445	no	#4A74A9	Cell Cycle
C34	L70	0.737315625766325	no	#4A74A9	Cell Cycle
C34	L71	0.685468996294603	no	#4A74A9	Cell Cycle
C34	Q98	0.836716904385176	no	#4A74A9	Cell Cycle
C38	C49	0.760115612420992	yes	#4A74A9	Cell Cycle
