Disease1	Disease2	weight	comorbid	colors
A71	A90	0.160227214391592	no	#4A74A9
A71	B17	-0.00816046111090704	no	#B64539
A71	C14	0.256321706316202	no	#4A74A9
A71	C16	0.0759470071406291	no	#4A74A9
A71	C18	0.0484965384338842	no	#4A74A9
A71	C25	0.0888667389070038	no	#4A74A9
A71	C34	0.0677166818417382	no	#4A74A9
A71	C50	0.203275599742928	no	#4A74A9
A71	C53	0.049999268110861	no	#4A74A9
A71	C56	0.145647854420215	no	#4A74A9
A71	C64	0.245290428012065	no	#4A74A9
A71	C71	0.05347369875422	no	#4A74A9
A71	C73	0.363628876569706	no	#4A74A9
A71	C79	0.0688560910689102	no	#4A74A9
A71	C91	0.0523529681739032	no	#4A74A9
A71	D72	-0.0170438189948617	no	#B64539
A71	D75	-0.0860134165968259	no	#B64539
A71	D82	0.254296000993244	no	#4A74A9
A71	D86	0.0549772533646041	no	#4A74A9
A71	E28	-0.000264535523939512	no	#B64539
A71	E88	-0.0274871716304235	no	#B64539
A71	F17	0.0670054158449775	no	#4A74A9
A71	G30	0.11031809268939	no	#4A74A9
A71	G35	0.0224027603456135	no	#4A74A9
A71	I42	-0.0238672607497461	no	#B64539
A71	J32	0.0335373396977059	no	#4A74A9
A71	K13	0.0475708068677842	no	#4A74A9
A71	K51	0.233493757551249	no	#4A74A9
A71	K58	0.248037155512035	no	#4A74A9
A71	L20	0.0435384126053462	no	#4A74A9
A71	L40	0.337024147552069	no	#4A74A9
A71	L71	0.284532632915001	no	#4A74A9
A71	M32	0.186138938004422	no	#4A74A9
A71	M35	-0.011638426315366	no	#B64539
A71	N19	0.0671677110267214	no	#4A74A9
A71	N30	0.543952707722668	no	#4A74A9
A71	N80	0.166411891403475	no	#4A74A9
A71	Q96	0.132450455976463	no	#4A74A9
A71	R65	0.243250384401542	no	#4A74A9
A90	C11	0.0429636932863343	no	#4A74A9
A90	C14	0.211815554190815	no	#4A74A9
A90	C16	0.0591329878701666	no	#4A74A9
A90	C18	0.0248932364417672	no	#4A74A9
A90	C25	0.0882985785096922	no	#4A74A9
A90	C34	0.102738965973399	no	#4A74A9
A90	C50	0.1303845759938	no	#4A74A9
A90	C53	0.0722033655750229	no	#4A74A9
A90	C56	0.113904710860263	no	#4A74A9
A90	C64	0.0862111382623856	no	#4A74A9
A90	C71	0.108730717196291	no	#4A74A9
A90	C73	0.186382510825566	no	#4A74A9
A90	C79	0.0475590955341411	no	#4A74A9
A90	C91	0.0352499106431635	no	#4A74A9
A90	D45	0.0692762623509684	no	#4A74A9
A90	D46	0.0454233842233455	no	#4A74A9
A90	D47	0.0405177655374084	no	#4A74A9
A90	D72	0.0297227727432216	no	#4A74A9
A90	D75	0.1647173680933	no	#4A74A9
A90	D82	0.307511504106107	no	#4A74A9
A90	D86	0.0894440243562822	no	#4A74A9
A90	E88	-0.0160866192803499	no	#B64539
A90	F17	0.0132288354058048	no	#4A74A9
A90	G30	0.0333235221641146	no	#4A74A9
A90	K13	0.0309579137629988	no	#4A74A9
A90	K51	0.100056321620297	no	#4A74A9
A90	K58	0.122104190582723	no	#4A74A9
A90	L20	0.0138352311276921	no	#4A74A9
A90	L40	0.28420293031167	no	#4A74A9
A90	L71	0.153283101996438	no	#4A74A9
A90	M32	0.325374093680556	no	#4A74A9
A90	N19	0.0750165819369072	no	#4A74A9
A90	N30	0.187963361274328	no	#4A74A9
A90	N80	0.0192419049368983	no	#4A74A9
A90	R65	0.504136772761044	no	#4A74A9
B17	C25	0.0118761446970148	no	#4A74A9
B17	C53	0.0115303596176453	no	#4A74A9
B17	C56	-0.0102420462123111	no	#B64539
B17	C64	0.0118499162970453	no	#4A74A9
B17	C91	-0.00717411603412026	no	#B64539
B17	D46	-0.00780877778853421	no	#B64539
B17	D75	-0.00578284194078809	no	#B64539
B17	D86	0.0125097620803829	no	#4A74A9
B17	E88	0.00313821849209015	no	#4A74A9
B17	F17	-0.00295181027174708	no	#B64539
B17	G30	0.0100363378227648	no	#4A74A9
B17	M32	-0.0188941366701988	no	#B64539
B17	M35	0.00415407393191078	no	#4A74A9
B17	N19	-0.0105684953370688	no	#B64539
B17	N80	-0.015382907313441	no	#B64539
B17	Q96	-0.0174290180851766	no	#B64539
C11	C14	0.231555555185062	yes	#4A74A9
C11	C16	0.184440360969345	no	#4A74A9
C11	C18	0.162037723117951	no	#4A74A9
C11	C22	0.0973500552637376	no	#4A74A9
C11	C25	0.0577737801204264	no	#4A74A9
C11	C34	0.145565959929088	no	#4A74A9
C11	C38	0.00979165905173756	no	#4A74A9
C11	C50	0.124585329824363	no	#4A74A9
C11	C53	0.255788639854844	no	#4A74A9
C11	C64	0.155543180634711	no	#4A74A9
C11	C71	0.0700039493008331	no	#4A74A9
C11	C73	0.0876520597999646	no	#4A74A9
C11	C74	0.0174133547444261	no	#4A74A9
C11	C79	0.136362550225549	no	#4A74A9
C11	D47	-0.0138045886393511	no	#B64539
C11	D75	0.0489644559042796	no	#4A74A9
C11	D82	-0.0733586260924028	no	#B64539
C11	F17	-0.0258076395819119	no	#B64539
C11	G35	-0.0123788778363389	no	#B64539
C11	J32	0.0599927091731202	no	#4A74A9
C11	K13	0.0836085349965686	no	#4A74A9
C11	K51	0.0530819271024171	no	#4A74A9
C11	K58	0.0571540114458194	no	#4A74A9
C11	L20	0.0123961642269082	no	#4A74A9
C11	L40	0.0706239938618886	no	#4A74A9
C11	L71	0.0256254414226217	no	#4A74A9
C11	M35	0.00525002237819596	no	#4A74A9
C11	N19	-0.0286627411916753	no	#B64539
C11	N30	0.135455797909951	no	#4A74A9
C11	N80	-0.0258055163090123	no	#B64539
C11	Q96	-0.0136868603549288	no	#B64539
C14	C16	0.571938418779075	no	#4A74A9
C14	C18	0.552615634973475	no	#4A74A9
C14	C22	0.232039308224344	no	#4A74A9
C14	C25	0.448474918763667	no	#4A74A9
C14	C34	0.494002393239569	no	#4A74A9
C14	C50	0.492075538397126	no	#4A74A9
C14	C53	0.579510668167799	no	#4A74A9
C14	C56	0.304801545416422	no	#4A74A9
C14	C64	0.564831899248312	no	#4A74A9
C14	C71	0.20040741949921	no	#4A74A9
