Disease1	Disease2	weight	comorbid	colors
A71	A90	0.0915328609047237	no	#4A74A9
A71	B17	-0.0336481272165221	no	#B64539
A71	B19	0.145115253371997	no	#4A74A9
A71	B44	0.0703700789732079	no	#4A74A9
A71	C11	0.0525938981339718	no	#4A74A9
A71	C14	0.181169398754187	no	#4A74A9
A71	C15	0.138527133876755	no	#4A74A9
A71	C16	0.032004618762753	no	#4A74A9
A71	C22	-0.0189289205439744	no	#B64539
A71	C25	0.0649996688685301	no	#4A74A9
A71	C34	0.0474597427803618	no	#4A74A9
A71	C38	0.0645575338939646	no	#4A74A9
A71	C49	0.0374264382883216	no	#4A74A9
A71	C61	0.037853419992364	no	#4A74A9
A71	C64	0.151390909759623	no	#4A74A9
A71	C67	0.203899185895185	no	#4A74A9
A71	C71	0.0282448599743848	no	#4A74A9
A71	C73	0.252292701991328	no	#4A74A9
A71	C82	-0.0207167361030761	no	#B64539
A71	C84	0.0283761594323372	no	#4A74A9
A71	C93	-0.0677605900736932	no	#B64539
A71	D46	-0.0651873949208036	no	#B64539
A71	D56	0.029987369048302	no	#4A74A9
A71	D75	-0.0538242643957383	no	#B64539
A71	D82	0.0805198110106577	no	#4A74A9
A71	D86	0.0744901740310673	no	#4A74A9
A71	E11	-0.0117097943150684	no	#B64539
A71	F17	0.0113578321881748	no	#4A74A9
A71	F20	0.0142683319720876	no	#4A74A9
A71	F31	-0.0153914398971751	no	#B64539
A71	F33	-0.00437857761619949	no	#B64539
A71	F84	-0.00408359494706092	no	#B64539
A71	G10	-0.0293919996677325	no	#B64539
A71	G12	0.0289939313587157	no	#4A74A9
A71	G20	0.0628854744277957	no	#4A74A9
A71	G30	0.032802920751663	no	#4A74A9
A71	G35	-0.0181960712929954	no	#B64539
A71	G71	0.0552382387298688	no	#4A74A9
A71	H31	-0.0708168997118248	no	#B64539
A71	I21	0.0540198406164021	no	#4A74A9
A71	I42	-0.0598222625622036	no	#B64539
A71	I63	0.0341584868961446	no	#4A74A9
A71	J32	0.129337379667839	no	#4A74A9
A71	J45	-0.226517255078345	no	#B64539
A71	J84	-0.0404028361668815	no	#B64539
A71	K12	0.275966279466125	no	#4A74A9
A71	K13	0.087046630883136	no	#4A74A9
A71	K50	0.121903424485717	no	#4A74A9
A71	K51	0.147602637941516	no	#4A74A9
A71	K58	0.223608244466595	no	#4A74A9
A71	L40	0.204578037647937	no	#4A74A9
A71	L70	0.249639111056293	no	#4A74A9
A71	L71	0.279587745278664	no	#4A74A9
A71	L82	-0.0411718564861998	no	#B64539
A71	M33	0.0902712702673822	no	#4A74A9
A71	M47	0.0745656792877276	no	#4A74A9
A71	N02	0.0529230580962255	no	#4A74A9
A71	Q98	0.033722429840386	no	#4A74A9
A71	R65	0.102381109065471	no	#4A74A9
A71	T86	0.0696464584522939	no	#4A74A9
A90	B17	-0.0243050148830785	no	#B64539
A90	B19	0.0684144335293465	no	#4A74A9
A90	C11	0.121255212866727	no	#4A74A9
A90	C14	0.124169352522608	no	#4A74A9
A90	C15	0.180554089075695	no	#4A74A9
A90	C16	0.0338961041701106	no	#4A74A9
A90	C18	0.0327133201313275	no	#4A74A9
A90	C22	0.030231717801403	no	#4A74A9
A90	C25	0.075331329287319	no	#4A74A9
A90	C34	0.126440252474943	no	#4A74A9
A90	C38	0.0573578443392875	no	#4A74A9
A90	C49	0.108261928562695	no	#4A74A9
A90	C61	0.0220567666225844	no	#4A74A9
A90	C64	0.0691326383864577	no	#4A74A9
A90	C67	0.133012182109496	no	#4A74A9
A90	C71	0.103033441932998	no	#4A74A9
A90	C73	0.143117881446549	no	#4A74A9
A90	C74	0.0399588792578877	no	#4A74A9
A90	C84	0.193610030723128	no	#4A74A9
A90	C90	0.104815380087671	no	#4A74A9
A90	C92	0.0378239378977554	no	#4A74A9
A90	C93	0.0582058466290042	no	#4A74A9
A90	D45	0.0981071778654572	no	#4A74A9
A90	D46	0.0710174606353249	no	#4A74A9
A90	D47	0.13388846534025	no	#4A74A9
A90	D56	0.023345313788204	no	#4A74A9
A90	D72	0.171141467245601	no	#4A74A9
A90	D75	0.0989134753851695	no	#4A74A9
A90	D82	0.0723662705557691	no	#4A74A9
A90	D86	0.0716550528313771	no	#4A74A9
A90	E10	-0.0564865861562626	no	#B64539
A90	E11	-0.00698917045214061	no	#B64539
A90	F31	-0.0054480988288103	no	#B64539
A90	F84	-0.0127698189680372	no	#B64539
A90	G12	0.0170307034608973	no	#4A74A9
A90	G35	0.103136341325506	no	#4A74A9
A90	G71	0.0656162787642724	no	#4A74A9
A90	H31	0.0642498641071592	no	#4A74A9
A90	I21	0.0264465534454181	no	#4A74A9
A90	I42	-0.0570689658047218	no	#B64539
A90	I73	0.0306811588552311	no	#4A74A9
A90	J32	0.0616833221903458	no	#4A74A9
A90	J44	0.011520988074971	no	#4A74A9
A90	J45	0.0465241367731199	no	#4A74A9
A90	J84	-0.0529033516416074	no	#B64539
A90	K12	0.144955392498298	no	#4A74A9
A90	K13	0.0675493873629754	no	#4A74A9
A90	K50	0.0573959145931596	no	#4A74A9
A90	K51	0.0550333907593472	no	#4A74A9
A90	K58	0.131917891079684	no	#4A74A9
A90	K70	0.053482154836916	no	#4A74A9
A90	L40	0.203532420318541	no	#4A74A9
A90	L70	0.134176794905291	no	#4A74A9
A90	L71	0.14855782420777	no	#4A74A9
A90	M33	0.204864928376188	no	#4A74A9
A90	M35	0.0287265208201131	no	#4A74A9
A90	M47	0.0456825711519531	no	#4A74A9
