Disease1	Disease2	weight	comorbid	colors
A71	A90	0.188646244082189	no	#4A74A9
A71	B17	-0.129001601604598	no	#B64539
A71	B19	0.344504133623388	no	#4A74A9
A71	B44	0.285306183615209	no	#4A74A9
A71	C11	0.053797784084786	no	#4A74A9
A71	C14	0.303052908151042	no	#4A74A9
A71	C15	0.220530683525754	no	#4A74A9
A71	C18	-0.0655249277143424	no	#B64539
A71	C22	-0.0803501693630005	no	#B64539
A71	C25	0.0863582099419083	no	#4A74A9
A71	C34	0.0465469753777026	no	#4A74A9
A71	C38	0.115973080076615	no	#4A74A9
A71	C49	0.0675503507236243	no	#4A74A9
A71	C61	0.15377596358112	no	#4A74A9
A71	C64	0.195197675075742	no	#4A74A9
A71	C67	0.313123847765624	no	#4A74A9
A71	C73	0.436849822294017	no	#4A74A9
A71	C82	-0.184354900646963	no	#B64539
A71	C90	0.109136367703503	no	#4A74A9
A71	C92	-0.0679449592466962	no	#B64539
A71	C93	-0.211791776247273	no	#B64539
A71	D45	0.0842019688535869	no	#4A74A9
A71	D46	-0.11541542001101	no	#B64539
A71	D47	0.0809824209650381	no	#4A74A9
A71	D56	0.0621017351340899	no	#4A74A9
A71	D75	-0.0471777586303524	no	#B64539
A71	D82	0.21723451811271	no	#4A74A9
A71	D86	0.243262115580053	no	#4A74A9
A71	E11	-0.101597884667736	no	#B64539
A71	F17	0.135017188323284	no	#4A74A9
A71	F20	0.166460995914795	no	#4A74A9
A71	F31	-0.197924237077546	no	#B64539
A71	F33	-0.121243772416841	no	#B64539
A71	G10	-0.104479684132254	no	#B64539
A71	G12	0.14893649872094	no	#4A74A9
A71	G20	0.14354246950775	no	#4A74A9
A71	G30	0.104417031022249	no	#4A74A9
A71	G35	-0.112427160719689	no	#B64539
A71	G71	0.161495030068445	no	#4A74A9
A71	H31	-0.0951827778636189	no	#B64539
A71	I21	0.247543207662609	no	#4A74A9
A71	I42	-0.149250881892476	no	#B64539
A71	I48	-0.155347919563202	no	#B64539
A71	I73	-0.0625770289763523	no	#B64539
A71	J32	0.256788281403218	no	#4A74A9
A71	J44	0.0462983499879022	no	#4A74A9
A71	J45	-0.364296506405859	no	#B64539
A71	K12	0.364706257185366	no	#4A74A9
A71	K13	0.167450232661436	no	#4A74A9
A71	K50	0.337171332956368	no	#4A74A9
A71	K51	0.265249409680053	no	#4A74A9
A71	K58	0.36146072059272	no	#4A74A9
A71	L40	0.314438605435061	no	#4A74A9
A71	L70	0.397861001260503	no	#4A74A9
A71	L71	0.408815725267255	no	#4A74A9
A71	L82	-0.1548013344802	no	#B64539
A71	M33	0.149081672445131	no	#4A74A9
A71	M35	0.0736409217796303	no	#4A74A9
A71	M47	0.231884714343224	no	#4A74A9
A71	N02	0.0777407347831913	no	#4A74A9
A71	N19	0.0946221095896813	no	#4A74A9
A71	Q98	0.0767485118940771	no	#4A74A9
A71	R65	0.247145125393201	no	#4A74A9
A71	T86	0.0878396795685194	no	#4A74A9
A90	B17	-0.0828497791925636	no	#B64539
A90	B19	0.112305858550138	no	#4A74A9
A90	C11	0.139291230849112	no	#4A74A9
A90	C14	0.176269130412379	no	#4A74A9
A90	C15	0.272148539040729	no	#4A74A9
A90	C18	0.042815634238078	no	#4A74A9
A90	C22	0.0407587070702289	no	#4A74A9
A90	C25	0.0714412900952435	no	#4A74A9
A90	C34	0.18473663212144	no	#4A74A9
A90	C38	0.0431059936989146	no	#4A74A9
A90	C49	0.110885585125922	no	#4A74A9
A90	C61	0.0802436228491915	no	#4A74A9
A90	C67	0.266823834577183	no	#4A74A9
A90	C71	0.119645753053738	no	#4A74A9
A90	C73	0.15539961040284	no	#4A74A9
A90	C82	-0.103739705493418	no	#B64539
A90	C84	0.235795612433625	no	#4A74A9
A90	C90	0.246023414370168	no	#4A74A9
A90	C92	0.064720217278625	no	#4A74A9
A90	C93	0.092577268126441	no	#4A74A9
A90	D45	0.245870111247311	no	#4A74A9
A90	D46	0.167555033710861	no	#4A74A9
A90	D47	0.278096955786295	no	#4A74A9
A90	D72	0.249242688887222	no	#4A74A9
A90	D75	0.279887474423395	no	#4A74A9
A90	D82	0.113925308103729	no	#4A74A9
A90	D86	0.22181179001782	no	#4A74A9
A90	E10	-0.137137309445547	no	#B64539
A90	E11	-0.0768296713964583	no	#B64539
A90	F17	0.0628605234583337	no	#4A74A9
A90	F20	0.0493374506550469	no	#4A74A9
A90	F31	-0.105904676938366	no	#B64539
A90	F33	0.0453576933927293	no	#4A74A9
A90	F84	-0.113220704795011	no	#B64539
A90	G12	0.073718979617546	no	#4A74A9
A90	G35	0.197696624821428	no	#4A74A9
A90	G71	0.158476087635122	no	#4A74A9
A90	H31	0.25858872348618	no	#4A74A9
A90	I21	0.231261873731497	no	#4A74A9
A90	I42	-0.106417425173789	no	#B64539
A90	I63	-0.120005388089212	no	#B64539
A90	I73	0.144508318114597	no	#4A74A9
A90	J32	0.138191612324486	no	#4A74A9
A90	J44	0.237123549725087	no	#4A74A9
A90	J45	0.12719841740985	no	#4A74A9
A90	J84	-0.116375220805145	no	#B64539
A90	K12	0.181802523473836	no	#4A74A9
A90	K13	0.129977945201261	no	#4A74A9
A90	K50	0.205363797830463	no	#4A74A9
A90	K51	0.157028775676939	no	#4A74A9
A90	K58	0.213375699566371	no	#4A74A9
A90	K70	0.139217696879744	no	#4A74A9
A90	L40	0.338230594624272	no	#4A74A9
A90	L70	0.267736076410363	no	#4A74A9
A90	L71	0.259331253518723	no	#4A74A9
A90	M33	0.289055477048481	no	#4A74A9
A90	M35	0.159541832654114	no	#4A74A9
A90	M47	0.243878515481715	no	#4A74A9
A90	N02	-0.0510122173205025	no	#B64539
A90	N19	0.151680996090476	no	#4A74A9
A90	Q98	0.0775769424029581	no	#4A74A9
A90	R65	0.367767272069638	no	#4A74A9
A90	T86	-0.137923451593051	no	#B64539
B17	B19	-0.157140494278415	no	#B64539
B17	B44	-0.329472699903102	no	#B64539
B17	C14	-0.068400698441178	no	#B64539
B17	C15	-0.108399107917385	no	#B64539
B17	C16	-0.0634972588959288	no	#B64539
B17	C22	-0.052905380135545	no	#B64539
B17	C25	-0.050335699174216	no	#B64539
B17	C34	-0.0817551079268798	no	#B64539
B17	C38	0.0567558152641022	no	#4A74A9
B17	C61	0.0661102074200953	no	#4A74A9
B17	C67	-0.0628557434066617	no	#B64539
B17	C73	-0.0445539349015044	no	#B64539
B17	C74	0.0938767057845913	no	#4A74A9
B17	C82	0.0579022227497251	no	#4A74A9
B17	C84	0.118635100151084	no	#4A74A9
B17	C92	-0.138600958529701	no	#B64539
B17	C93	0.0519356068678473	no	#4A74A9
B17	D72	0.149971275205195	no	#4A74A9
B17	D82	-0.0733479402434011	no	#B64539
B17	D86	-0.0559194581415652	no	#B64539
B17	E10	0.196337565126127	no	#4A74A9
B17	E11	0.245095880983293	no	#4A74A9
B17	F17	0.137000094322884	yes	#4A74A9
B17	F20	0.162521099670641	no	#4A74A9
B17	F31	0.162763579240996	no	#4A74A9
B17	F33	0.18046628075123	no	#4A74A9
B17	F84	0.0671930102935811	no	#4A74A9
B17	G10	0.2412657765024	no	#4A74A9
B17	G12	-0.228392475506935	no	#B64539
B17	G20	0.112558738504875	no	#4A74A9
B17	G30	0.19256074654295	no	#4A74A9
B17	G31	0.0829784986136299	no	#4A74A9
B17	G35	0.211064141585237	no	#4A74A9
B17	G71	-0.180837663853471	no	#B64539
B17	I21	-0.325864943923766	no	#B64539
B17	I42	0.0866383505721953	no	#4A74A9
B17	I48	0.166528691011455	no	#4A74A9
B17	J32	-0.163141423919799	no	#B64539
B17	J44	0.140951507453564	no	#4A74A9
B17	J45	0.0770057594002127	no	#4A74A9
B17	K12	-0.0606182064946794	no	#B64539
B17	K13	-0.0884129907531754	no	#B64539
B17	K50	-0.206009019561161	no	#B64539
B17	K58	-0.113967010893232	no	#B64539
B17	K70	-0.0715381498229878	no	#B64539
B17	L40	-0.20029587056953	no	#B64539
B17	L70	-0.177631638530953	no	#B64539
B17	L71	-0.0934355330685179	no	#B64539
B17	L82	0.196237341257311	no	#4A74A9
B17	M33	-0.0426352578126913	no	#B64539
B17	M47	-0.111141312118236	no	#B64539
B17	N19	-0.0917193871528906	no	#B64539
B17	Q87	0.0795851508141233	no	#4A74A9
B17	Q98	-0.067565623777152	no	#B64539
B17	R65	-0.187074264902436	no	#B64539
B17	T86	0.0764790733797047	no	#4A74A9
B19	B44	0.270233707725074	no	#4A74A9
B19	C11	-0.0525164227178108	no	#B64539
B19	C14	0.192679760942995	no	#4A74A9
B19	C15	0.0884192893911831	no	#4A74A9
B19	C16	0.0624803585985245	no	#4A74A9
B19	C18	-0.0630256897621338	no	#B64539
B19	C22	0.0379075051091719	no	#4A74A9
B19	C25	0.163822726943356	no	#4A74A9
B19	C34	-0.0464938741680005	no	#B64539
B19	C61	0.0532574550489239	no	#4A74A9
B19	C64	0.169810795781799	no	#4A74A9
B19	C67	0.119809004186492	no	#4A74A9
B19	C73	0.27567938182816	no	#4A74A9
B19	C74	-0.0806377786583094	no	#B64539
B19	C84	0.150049378008923	no	#4A74A9
B19	C90	0.117496360485503	no	#4A74A9
B19	C92	-0.103725051503614	no	#B64539
B19	C93	-0.161778609255759	no	#B64539
B19	D45	0.211232183662581	no	#4A74A9
B19	D47	0.202143763912675	no	#4A74A9
B19	D56	0.0784586506434224	no	#4A74A9
B19	D75	0.0647580002817483	no	#4A74A9
B19	D82	0.215980157808892	no	#4A74A9
B19	D86	0.328724999551099	no	#4A74A9
B19	E10	0.0539687734687315	no	#4A74A9
B19	F20	0.0875394769471535	no	#4A74A9
B19	F31	-0.119194140073837	no	#B64539
B19	F33	-0.086224395406176	no	#B64539
B19	F84	-0.0815156290099674	no	#B64539
B19	G10	-0.0821765863462056	no	#B64539
B19	G12	0.105800117417038	no	#4A74A9
B19	G20	0.0557410215362957	no	#4A74A9
B19	G30	0.0495348594814888	no	#4A74A9
B19	G31	-0.104335808086428	no	#B64539
B19	G35	-0.0478347712651605	no	#B64539
B19	G71	0.244182678423145	no	#4A74A9
B19	I21	0.262339179011851	no	#4A74A9
B19	I42	-0.143647253944338	no	#B64539
B19	I48	-0.162902953688217	no	#B64539
B19	I73	0.0559564490234779	no	#4A74A9
B19	J32	0.101000578755429	no	#4A74A9
B19	J45	-0.188975223237302	no	#B64539
B19	J84	0.0917584743076745	no	#4A74A9
B19	K12	0.193917575522862	no	#4A74A9
B19	K13	0.182626079772215	no	#4A74A9
B19	K50	0.203425602512992	no	#4A74A9
B19	K51	0.178606767728216	no	#4A74A9
B19	K58	0.284757250314479	no	#4A74A9
B19	K70	0.238480423560329	yes	#4A74A9
B19	L40	0.0844509938792376	no	#4A74A9
B19	L70	0.229536786779029	no	#4A74A9
B19	L71	0.098709133650248	no	#4A74A9
B19	L82	-0.179483884503715	no	#B64539
B19	M33	0.0982683922463168	no	#4A74A9
B19	M35	0.159677256129183	no	#4A74A9
B19	M47	0.285645140638237	no	#4A74A9
B19	N02	0.10133421658435	no	#4A74A9
B19	N19	0.0728352302854576	no	#4A74A9
B19	R65	0.205055419190466	no	#4A74A9
B44	C14	0.0655554932632018	no	#4A74A9
B44	C15	0.0588124261554633	no	#4A74A9
B44	C18	-0.0420664170220456	no	#B64539
B44	C25	-0.182688540747474	no	#B64539
B44	C34	0.0962713357701353	no	#4A74A9
B44	C64	-0.0614105867211254	no	#B64539
B44	C67	-0.106948661081987	no	#B64539
B44	C71	-0.0738190574570711	no	#B64539
B44	C73	0.079737425322181	no	#4A74A9
B44	C74	-0.17374400034336	no	#B64539
B44	C82	-0.164443820536998	no	#B64539
B44	C84	-0.120392485071863	no	#B64539
B44	C90	0.14838777584313	no	#4A74A9
B44	C93	-0.0769378755348602	no	#B64539
B44	D46	0.0507297723328122	no	#4A74A9
B44	D47	0.264980753392193	no	#4A74A9
B44	D56	0.0540898876005914	no	#4A74A9
B44	D72	-0.0701401638685485	no	#B64539
B44	D75	0.0757210345439859	no	#4A74A9
B44	D86	0.149960837961421	no	#4A74A9
B44	E11	-0.230406633647979	no	#B64539
B44	F17	-0.0740659610230873	no	#B64539
B44	F20	0.0548323998949462	no	#4A74A9
B44	F31	-0.241871135563704	no	#B64539
B44	F33	-0.344018369521999	no	#B64539
B44	F84	0.166929665889581	no	#4A74A9
B44	G10	-0.464046293218967	no	#B64539
B44	G12	0.280545858597741	no	#4A74A9
B44	G30	-0.0848547041568812	no	#B64539
B44	G31	-0.101585619656582	no	#B64539
B44	G35	-0.352086339251717	no	#B64539
B44	G71	0.335882891603554	no	#4A74A9
B44	H31	-0.136460002881146	no	#B64539
B44	I21	0.266501300172332	no	#4A74A9
B44	I48	-0.435244292385167	no	#B64539
B44	I63	0.073387281648284	no	#4A74A9
B44	I73	-0.184453600500091	no	#B64539
B44	J32	0.181720596895845	no	#4A74A9
B44	J44	-0.19215980375101	no	#B64539
B44	J45	-0.363943612866	no	#B64539
B44	J84	0.187998275695048	yes	#4A74A9
B44	K13	0.0763354120109393	no	#4A74A9
B44	K50	0.155271440967108	no	#4A74A9
B44	K58	0.0988798197224467	no	#4A74A9
B44	K70	-0.0664148402196916	no	#B64539
B44	L40	0.120380071487044	no	#4A74A9
B44	L70	0.115119513626813	no	#4A74A9
B44	L71	0.118212201565327	no	#4A74A9
B44	L82	-0.41877584060673	no	#B64539
B44	M33	-0.138144481335192	no	#B64539
B44	M47	0.0547171117066612	no	#4A74A9
B44	N02	-0.114859415992724	no	#B64539
B44	N19	0.266991625524941	no	#4A74A9
B44	Q87	-0.138689539556004	no	#B64539
B44	R65	0.0822755955514111	no	#4A74A9
B44	T86	-0.0652230959227992	no	#B64539
C11	C14	0.308568767744526	yes	#4A74A9
C11	C15	0.213621271872056	no	#4A74A9
C11	C16	0.296319305018332	no	#4A74A9
C11	C18	0.336944530898174	no	#4A74A9
C11	C22	0.214300083170899	no	#4A74A9
C11	C25	0.0841335321655602	no	#4A74A9
C11	C34	0.341034923666206	no	#4A74A9
C11	C38	0.331179427541689	no	#4A74A9
C11	C49	0.166882190718898	no	#4A74A9
C11	C64	0.181511889785417	no	#4A74A9
C11	C67	0.126654760482483	no	#4A74A9
C11	C71	0.103031353277312	no	#4A74A9
C11	C73	0.179538178579446	no	#4A74A9
C11	C74	0.183059648765696	no	#4A74A9
C11	C82	-0.134195623459533	no	#B64539
C11	C84	-0.0673285933925785	no	#B64539
C11	C92	0.0803148180116517	no	#4A74A9
C11	C93	0.205858685446872	no	#4A74A9
C11	D45	-0.105982080198499	no	#B64539
C11	D47	-0.0517032923020371	no	#B64539
C11	D72	0.0501136012318319	no	#4A74A9
C11	D82	-0.172663117920325	no	#B64539
C11	D86	-0.110240965932202	no	#B64539
C11	E10	-0.108823864485721	no	#B64539
C11	E11	-0.0638174892315477	no	#B64539
C11	F17	-0.0803188346354672	no	#B64539
C11	F20	-0.0882075103845578	no	#B64539
C11	G12	-0.0447481907039691	no	#B64539
C11	G30	-0.0830618345446976	no	#B64539
C11	G35	0.0395447778651441	no	#4A74A9
C11	H31	0.0548318789378876	no	#4A74A9
C11	I21	-0.0780977064471365	no	#B64539
C11	I42	-0.0710570134870783	no	#B64539
C11	J32	0.185151050926263	no	#4A74A9
C11	J44	0.0732864252431994	no	#4A74A9
C11	J45	0.126461947926974	no	#4A74A9
C11	J84	-0.103743420212557	no	#B64539
C11	K12	0.109934399685592	no	#4A74A9
C11	K13	0.289973904493555	no	#4A74A9
C11	K50	0.124757664798514	no	#4A74A9
C11	K51	0.120976624764502	no	#4A74A9
C11	K58	0.11348867394203	no	#4A74A9
C11	K70	0.095133437698051	no	#4A74A9
C11	L40	0.207472983395168	no	#4A74A9
C11	L70	0.19452482715936	no	#4A74A9
C11	L71	0.121647358758978	no	#4A74A9
C11	M33	0.0873539351301371	no	#4A74A9
C11	M47	-0.129654506686901	no	#B64539
C11	N02	0.0777147815376409	no	#4A74A9
C11	Q87	-0.0923625601046864	no	#B64539
C11	Q98	0.0940660396178666	no	#4A74A9
C14	C15	0.366948542992904	no	#4A74A9
C14	C16	0.309322326215477	no	#4A74A9
C14	C18	0.266982784165039	no	#4A74A9
C14	C22	0.127977471905872	no	#4A74A9
C14	C25	0.277151653924629	no	#4A74A9
C14	C34	0.276579916322871	no	#4A74A9
C14	C38	0.313225973395303	no	#4A74A9
C14	C49	0.195642489265035	no	#4A74A9
C14	C61	0.0889035300958113	no	#4A74A9
C14	C64	0.317068180821744	no	#4A74A9
C14	C67	0.244968248892634	no	#4A74A9
C14	C71	0.177925065912663	no	#4A74A9
C14	C73	0.400452409992801	no	#4A74A9
C14	C74	0.160662457652249	no	#4A74A9
C14	C82	-0.0952377215909631	no	#B64539
C14	C84	0.0362624494847752	no	#4A74A9
C14	C93	0.053263544315298	no	#4A74A9
C14	D72	0.0445432928670479	no	#4A74A9
C14	D75	-0.061010446592722	no	#B64539
