Disease1	Disease2	weight	comorbid	colors
A71	A90	0.186356006248331	no	#4A74A9
A71	B17	-0.0318698690651691	no	#B64539
A71	B44	0.121479790814959	no	#4A74A9
A71	C11	-0.0396131933313935	no	#B64539
A71	C14	0.16884695014631	no	#4A74A9
A71	C16	0.0565583186386642	no	#4A74A9
A71	C18	0.0356740937994586	no	#4A74A9
A71	C25	0.0653376351976156	no	#4A74A9
A71	C38	0.155570906002882	no	#4A74A9
A71	C43	0.200339552156378	no	#4A74A9
A71	C50	0.153233625889809	no	#4A74A9
A71	C53	0.0274220731665774	no	#4A74A9
A71	C56	0.0917929130403785	no	#4A74A9
A71	C64	0.159312498842996	no	#4A74A9
A71	C67	0.180984990072366	no	#4A74A9
A71	C71	0.0323480092111495	no	#4A74A9
A71	C73	0.23988986843287	no	#4A74A9
A71	C74	0.0656988591623856	no	#4A74A9
A71	C79	0.148468233929649	no	#4A74A9
A71	C91	0.0340786515709703	no	#4A74A9
A71	C92	-0.118248210962581	no	#B64539
A71	D47	-0.0262259780808642	no	#B64539
A71	D57	-0.0869887756452098	no	#B64539
A71	D72	-0.0684303526614057	no	#B64539
A71	D75	-0.128706232893347	no	#B64539
A71	D82	0.145477034226524	no	#4A74A9
A71	D86	0.0598468770899713	no	#4A74A9
A71	E10	0.0487218680115465	no	#4A74A9
A71	E11	-0.0226126697631684	no	#B64539
A71	E88	-0.0895278816846521	no	#B64539
A71	F17	0.111563527283218	no	#4A74A9
A71	F20	0.0467472928955022	no	#4A74A9
A71	F31	0.011479040274411	no	#4A74A9
A71	G10	0.0138798587250443	no	#4A74A9
A71	G12	-0.0408085021141135	no	#B64539
A71	G20	-0.03778962869553	no	#B64539
A71	G30	0.0661930040574385	no	#4A74A9
A71	I21	0.0861666806658804	no	#4A74A9
A71	I42	-0.0817972270740756	no	#B64539
A71	I63	-0.0376005035979778	no	#B64539
A71	I73	0.0609117689169974	no	#4A74A9
A71	J32	0.153660756086743	no	#4A74A9
A71	J44	0.040693054736685	no	#4A74A9
A71	J45	-0.242162825990736	no	#B64539
A71	K12	0.0778696611056975	no	#4A74A9
A71	K13	0.0831826388017082	no	#4A74A9
A71	K50	0.172808324251026	no	#4A74A9
A71	K51	0.251852873037602	no	#4A74A9
A71	K58	0.295972538528909	no	#4A74A9
A71	L20	0.195387496471639	no	#4A74A9
A71	L40	0.309094733341831	no	#4A74A9
A71	L71	0.212126381249648	no	#4A74A9
A71	M19	0.0425510482912272	no	#4A74A9
A71	M32	0.147124662283968	no	#4A74A9
A71	M47	0.035097651746331	no	#4A74A9
A71	M60	0.188605046319373	no	#4A74A9
A71	N19	0.126686367238775	no	#4A74A9
A71	N30	0.436016134343639	no	#4A74A9
A71	N80	0.163919562739289	no	#4A74A9
A71	Q82	-0.0825908613846454	no	#B64539
A71	Q96	0.0903914750459694	no	#4A74A9
A71	R65	0.159666350738218	no	#4A74A9
A90	B44	0.0431835082454488	no	#4A74A9
A90	C11	0.0864905272519823	no	#4A74A9
A90	C14	0.187334194061416	no	#4A74A9
A90	C16	0.0575508308065104	no	#4A74A9
A90	C25	0.0857879133672722	no	#4A74A9
A90	C34	0.0721769560818476	no	#4A74A9
A90	C38	0.111005144531297	no	#4A74A9
A90	C43	0.109661442681002	no	#4A74A9
A90	C50	0.133723877366067	no	#4A74A9
A90	C53	0.0944592272870979	no	#4A74A9
A90	C56	0.0996217401441921	no	#4A74A9
A90	C64	0.0669616905801761	no	#4A74A9
A90	C67	0.12322165513805	no	#4A74A9
A90	C71	0.0908866058119235	no	#4A74A9
A90	C73	0.169892028134872	no	#4A74A9
A90	C74	0.0432890695163833	no	#4A74A9
A90	C79	0.135311053558783	no	#4A74A9
A90	C92	-0.0537643786748059	no	#B64539
A90	D45	0.185324484715044	no	#4A74A9
A90	D46	0.0886645695197203	no	#4A74A9
A90	D47	0.0817674257203166	no	#4A74A9
A90	D57	0.0522316484061226	no	#4A74A9
A90	D72	0.0425932901224623	no	#4A74A9
A90	D75	0.205972273767461	no	#4A74A9
A90	D82	0.249159646513316	no	#4A74A9
A90	D86	0.164285348151658	no	#4A74A9
A90	E10	-0.019456642605724	no	#B64539
A90	E11	0.0157966771670725	no	#4A74A9
A90	E88	-0.0560355175085169	no	#B64539
A90	F17	0.0255329790539304	no	#4A74A9
A90	F20	0.0260060255355558	no	#4A74A9
A90	F33	-0.00766204799472373	no	#B64539
A90	G10	-0.0813337165674137	no	#B64539
A90	G12	0.0494766379178743	no	#4A74A9
A90	G30	0.0365743715479197	no	#4A74A9
A90	I21	0.0514614451768424	no	#4A74A9
A90	I42	-0.057820867962235	no	#B64539
A90	I73	0.0974054324514574	no	#4A74A9
A90	J32	0.0509018336939498	no	#4A74A9
A90	J44	0.0549624257219899	no	#4A74A9
A90	J45	0.0621215016724562	no	#4A74A9
A90	J84	-0.0410957728524898	no	#B64539
A90	K12	0.0494698291679338	no	#4A74A9
A90	K13	0.0852643093845539	no	#4A74A9
A90	K50	0.188769073532535	no	#4A74A9
A90	K51	0.127202332903892	no	#4A74A9
A90	K58	0.137066565008651	no	#4A74A9
A90	L20	0.0963381014970798	no	#4A74A9
A90	L40	0.253573236885521	no	#4A74A9
