Disease1	Disease2	weight	comorbid	colors
A71	A90	0.197241066523675	no	#4A74A9
A71	B17	-0.135360905179301	no	#B64539
A71	B19	0.317798738275054	no	#4A74A9
A71	B44	0.215477724857593	no	#4A74A9
A71	C11	0.1073214199571	no	#4A74A9
A71	C14	0.311289683983033	no	#4A74A9
A71	C15	0.230462105002853	no	#4A74A9
A71	C16	0.0632070340570404	no	#4A74A9
A71	C22	-0.0409888389184221	no	#B64539
A71	C25	0.11656446210766	no	#4A74A9
A71	C34	0.0780167417800641	no	#4A74A9
A71	C38	0.119126087741084	no	#4A74A9
A71	C49	0.0722692027191548	no	#4A74A9
A71	C61	0.105751694132129	no	#4A74A9
A71	C64	0.233640014815238	no	#4A74A9
A71	C67	0.360146359474974	no	#4A74A9
A71	C71	0.0459427922711386	no	#4A74A9
A71	C73	0.386868087321557	no	#4A74A9
A71	C82	-0.156130794508716	no	#B64539
A71	C84	0.0429818599464714	no	#4A74A9
A71	C90	0.0391375258449473	no	#4A74A9
A71	C93	-0.162577203628408	no	#B64539
A71	D46	-0.154643733141912	no	#B64539
A71	D56	0.086222786772606	no	#4A74A9
A71	D75	-0.0990128842486947	no	#B64539
A71	D82	0.149531957709923	no	#4A74A9
A71	D86	0.172849531264188	no	#4A74A9
A71	E11	-0.080902277894536	no	#B64539
A71	F17	0.0530318511045831	no	#4A74A9
A71	F20	0.143731190606042	no	#4A74A9
A71	F31	-0.162453306763251	no	#B64539
A71	F33	-0.0745951379833587	no	#B64539
A71	F84	-0.0462526305892361	no	#B64539
A71	G10	-0.0826870070855171	no	#B64539
A71	G12	0.0968996232034475	no	#4A74A9
A71	G20	0.14806123244571	no	#4A74A9
A71	G30	0.102067678599027	no	#4A74A9
A71	G35	-0.0437535806085614	no	#B64539
A71	G71	0.12999190746152	no	#4A74A9
A71	H31	-0.165069767956007	no	#B64539
A71	I21	0.22404738271851	no	#4A74A9
A71	I42	-0.158899105130898	no	#B64539
A71	I48	-0.0647713288965125	no	#B64539
A71	I63	0.0791372921635337	no	#4A74A9
A71	J32	0.265886748464203	no	#4A74A9
A71	J44	0.0410795927042059	no	#4A74A9
A71	J45	-0.389799740633383	no	#B64539
A71	J84	-0.0725917717784162	no	#B64539
A71	K12	0.456949449446147	no	#4A74A9
A71	K13	0.171646617361599	no	#4A74A9
A71	K50	0.318046156777586	no	#4A74A9
A71	K51	0.311571422857253	no	#4A74A9
A71	K58	0.382262318875991	no	#4A74A9
A71	L40	0.362308291270506	no	#4A74A9
A71	L70	0.442455685443597	no	#4A74A9
A71	L71	0.436283104428161	no	#4A74A9
A71	L82	-0.100425495866711	no	#B64539
A71	M33	0.19846454346087	no	#4A74A9
A71	M47	0.196311897043901	no	#4A74A9
A71	N02	0.0998852726768054	no	#4A74A9
A71	N19	0.0497595320001325	no	#4A74A9
A71	Q98	0.0811715837618476	no	#4A74A9
A71	R65	0.196770489738785	no	#4A74A9
A71	T86	0.202868868344868	no	#4A74A9
A90	B17	-0.0885384482593693	no	#B64539
A90	B19	0.156304842123553	no	#4A74A9
A90	C11	0.197652326994531	no	#4A74A9
A90	C14	0.228719605380724	no	#4A74A9
A90	C15	0.27305738515514	no	#4A74A9
A90	C16	0.0678190644531604	no	#4A74A9
A90	C18	0.0584873198575474	no	#4A74A9
A90	C22	0.0540527181381811	no	#4A74A9
A90	C25	0.140412890689383	no	#4A74A9
A90	C34	0.200446235209207	no	#4A74A9
A90	C38	0.0940593350500819	no	#4A74A9
A90	C49	0.161809872733021	no	#4A74A9
A90	C61	0.0835897283089623	no	#4A74A9
A90	C64	0.107943361342998	no	#4A74A9
A90	C67	0.28613878849594	no	#4A74A9
