Disease1	Disease2	weight	comorbid	colors
A71	A90	0.212354969585312	no	#4A74A9
A71	B17	-0.0340222114624047	no	#B64539
A71	B19	0.459705761912753	no	#4A74A9
A71	B44	0.269903668085913	no	#4A74A9
A71	C11	0.060443603676381	no	#4A74A9
A71	C14	0.369949587589227	no	#4A74A9
A71	C15	0.266858332101822	no	#4A74A9
A71	C22	-0.101873166528258	no	#B64539
A71	C25	0.0786676489775462	no	#4A74A9
A71	C34	0.0932178624069854	no	#4A74A9
A71	C38	0.119901048782699	no	#4A74A9
A71	C49	0.0651299342127094	no	#4A74A9
A71	C61	0.223186892136153	no	#4A74A9
A71	C64	0.19180298981194	no	#4A74A9
A71	C67	0.359128155416618	no	#4A74A9
A71	C71	0.0523036163182227	no	#4A74A9
A71	C73	0.582256462746972	no	#4A74A9
A71	C82	-0.0925767856899534	no	#B64539
A71	C84	0.0829301667699645	no	#4A74A9
A71	C90	0.18617965349729	no	#4A74A9
A71	C92	-0.0693914085938247	no	#B64539
A71	C93	-0.162912534806648	no	#B64539
A71	D45	0.13026908153226	no	#4A74A9
A71	D47	0.151658348032624	no	#4A74A9
A71	D56	0.0476719955852779	no	#4A74A9
A71	D72	0.0709451071438178	no	#4A74A9
A71	D82	0.154419622692701	no	#4A74A9
A71	D86	0.339032243584924	no	#4A74A9
A71	F17	0.133203332666471	no	#4A74A9
A71	F20	0.135593261424329	no	#4A74A9
A71	F31	-0.0863797700504327	no	#B64539
A71	F33	-0.0546094472335859	no	#B64539
A71	G10	-0.0817002535610387	no	#B64539
A71	G12	0.152789986471705	no	#4A74A9
A71	G20	0.188037805466399	no	#4A74A9
A71	G30	0.172137816589659	no	#4A74A9
A71	G35	-0.066229753519959	no	#B64539
A71	G71	0.133573103583149	no	#4A74A9
A71	I21	0.18184468755843	no	#4A74A9
A71	I42	-0.0583906773795216	no	#B64539
A71	I48	-0.113989724996895	no	#B64539
A71	I63	0.0444737455316873	no	#4A74A9
A71	J32	0.234077997849963	no	#4A74A9
A71	J44	0.0462552432267173	no	#4A74A9
A71	J45	-0.237169839346792	no	#B64539
A71	J84	0.124643010125492	no	#4A74A9
A71	K12	0.362243912537225	no	#4A74A9
A71	K13	0.237538963348087	no	#4A74A9
A71	K50	0.303860676329421	no	#4A74A9
A71	K51	0.267476044327345	no	#4A74A9
A71	K58	0.380332298348205	no	#4A74A9
A71	L40	0.280032611269824	no	#4A74A9
A71	L70	0.436165081543321	no	#4A74A9
A71	L71	0.479037191817651	no	#4A74A9
A71	L82	-0.113708829194628	no	#B64539
