Disease1	Disease2	weight	comorbid	colors
A71	A90	0.264613402830107	no	#4A74A9
A71	B17	-0.0504147356943031	no	#B64539
A71	B44	0.192843901867662	no	#4A74A9
A71	C14	0.260172565636633	no	#4A74A9
A71	C16	0.0787032157778799	no	#4A74A9
A71	C18	0.0568999014838609	no	#4A74A9
A71	C22	-0.0312316933764339	no	#B64539
A71	C25	0.090235245710388	no	#4A74A9
A71	C34	0.0994450183694404	no	#4A74A9
A71	C38	0.25476239459794	no	#4A74A9
A71	C43	0.268001408875958	no	#4A74A9
A71	C50	0.201103397914184	no	#4A74A9
A71	C53	0.0408105744590706	no	#4A74A9
A71	C56	0.163056932107506	no	#4A74A9
A71	C64	0.223894374924143	no	#4A74A9
A71	C67	0.27099436397469	no	#4A74A9
A71	C71	0.0563143091075017	no	#4A74A9
A71	C73	0.406405583263167	no	#4A74A9
A71	C74	0.132326079765501	no	#4A74A9
A71	C79	0.249317628651999	no	#4A74A9
A71	C91	0.0569110409530108	no	#4A74A9
A71	C92	-0.101238895283486	no	#B64539
A71	D45	0.0320634823738246	no	#4A74A9
A71	D46	0.033662428570925	no	#4A74A9
A71	D57	-0.0952736395619284	no	#B64539
A71	D72	-0.0603233808747332	no	#B64539
A71	D75	-0.0990389613462158	no	#B64539
A71	D82	0.232088968071622	no	#4A74A9
A71	D86	0.0980541906266059	no	#4A74A9
A71	E10	0.0738325563477208	no	#4A74A9
A71	E11	-0.037257681654388	no	#B64539
A71	E88	-0.0900271737403876	no	#B64539
A71	F17	0.20668712953841	no	#4A74A9
A71	F20	0.0705065686521687	no	#4A74A9
A71	F31	0.0271967402845073	no	#4A74A9
A71	F33	0.0175703494670801	no	#4A74A9
A71	G10	0.0458308199353973	no	#4A74A9
A71	G12	-0.047451820713066	no	#B64539
A71	G20	-0.0213011017593342	no	#B64539
A71	G30	0.118614693314621	no	#4A74A9
A71	G35	0.0268002095768773	no	#4A74A9
A71	I21	0.124481547842426	no	#4A74A9
A71	I42	-0.0551949555468843	no	#B64539
A71	I73	0.0777652081018658	no	#4A74A9
A71	J32	0.237828791233227	no	#4A74A9
A71	J44	0.0657138902969296	no	#4A74A9
A71	J45	-0.220092968192209	no	#B64539
A71	J84	0.0743199278741047	no	#4A74A9
A71	K12	0.108789876955365	no	#4A74A9
A71	K13	0.1570228495024	no	#4A74A9
A71	K50	0.248966111268306	no	#4A74A9
A71	K51	0.315237887921317	no	#4A74A9
A71	K58	0.352965319876823	no	#4A74A9
A71	L20	0.270366672574622	no	#4A74A9
A71	L40	0.337399344991009	no	#4A74A9
A71	L71	0.282932310454271	no	#4A74A9
A71	M19	0.058993185695818	no	#4A74A9
A71	M32	0.191806827871081	no	#4A74A9
A71	M35	-0.034945788864008	no	#B64539
A71	M47	0.069737148445465	no	#4A74A9
A71	M60	0.233984302974027	no	#4A74A9
A71	N19	0.155173595381676	no	#4A74A9
A71	N30	0.56300392158496	no	#4A74A9
A71	N80	0.263204441232338	no	#4A74A9
A71	Q82	-0.0473575682046172	no	#B64539
A71	Q87	0.0273144264667601	no	#4A74A9
A71	Q96	0.164551204122511	no	#4A74A9
A71	R65	0.259406269647554	no	#4A74A9
A90	B44	0.108229988275336	no	#4A74A9
A90	C11	0.103344555541995	no	#4A74A9
A90	C14	0.24742114576061	no	#4A74A9
A90	C16	0.0638739912194299	no	#4A74A9
A90	C18	0.0439704196783229	no	#4A74A9
A90	C25	0.0981694406462049	no	#4A74A9
A90	C34	0.135662671374819	no	#4A74A9
A90	C38	0.164519546252469	no	#4A74A9
A90	C43	0.137671399324755	no	#4A74A9
A90	C50	0.162327027679371	no	#4A74A9
A90	C53	0.0986188775936861	no	#4A74A9
A90	C56	0.151129999457541	no	#4A74A9
A90	C64	0.0996935429735615	no	#4A74A9
A90	C67	0.174662814190261	no	#4A74A9
A90	C71	0.109563796457525	no	#4A74A9
A90	C73	0.22938082013983	no	#4A74A9
A90	C74	0.0927764969253654	no	#4A74A9
A90	C79	0.200844192272907	no	#4A74A9
A90	C91	0.0289894844600953	no	#4A74A9
A90	D45	0.183837715009331	no	#4A74A9
A90	D46	0.104153432561448	no	#4A74A9
A90	D47	0.0938484659924237	no	#4A74A9
A90	D56	0.0241075769877247	no	#4A74A9
A90	D57	0.0568098074415736	no	#4A74A9
A90	D72	0.0669848116971137	no	#4A74A9
A90	D75	0.223076163343903	no	#4A74A9
A90	D82	0.331392243961954	no	#4A74A9
A90	D86	0.207771374303829	no	#4A74A9
A90	E11	0.0276735044833856	no	#4A74A9
A90	E88	-0.0381691158327554	no	#B64539
A90	F17	0.0621836096519418	no	#4A74A9
A90	F20	0.0286651702312204	no	#4A74A9
A90	G10	-0.0547510904883631	no	#B64539
A90	G12	0.0543951865182108	no	#4A74A9
A90	G30	0.0493212758655527	no	#4A74A9
A90	I21	0.0786305765580259	no	#4A74A9
A90	I42	-0.033012311423052	no	#B64539
A90	I63	0.0519445242540088	no	#4A74A9
A90	I73	0.112023859856623	no	#4A74A9
A90	J32	0.0684918620786356	no	#4A74A9
A90	J44	0.0739762786852569	no	#4A74A9
A90	J45	0.0940357148318134	no	#4A74A9
A90	J84	-0.0323705791882408	no	#B64539
A90	K12	0.0595306423332675	no	#4A74A9
A90	K13	0.140074317347311	no	#4A74A9
A90	K50	0.23199745822309	no	#4A74A9
A90	K51	0.162611842360601	no	#4A74A9
A90	K58	0.199855075788814	no	#4A74A9
A90	L20	0.0994091098134956	no	#4A74A9
A90	L40	0.312350403917249	no	#4A74A9
A90	L71	0.173013831193612	no	#4A74A9
A90	M19	0.0388314620897637	no	#4A74A9
A90	M32	0.386096476323249	no	#4A74A9
A90	M60	0.197732039873219	no	#4A74A9
A90	N19	0.158878581311128	no	#4A74A9
A90	N30	0.267779875572367	no	#4A74A9
A90	N80	0.0522190003127676	no	#4A74A9
A90	Q87	0.0491178969826056	no	#4A74A9
A90	R65	0.612884536893836	no	#4A74A9
B17	B44	-0.0213086213416619	no	#B64539
B17	C11	0.064044602571839	no	#4A74A9
B17	C14	0.0198237668936573	no	#4A74A9
B17	C16	0.042730118025198	no	#4A74A9
B17	C18	0.0189054652391884	no	#4A74A9
B17	C22	0.0242503793844699	no	#4A74A9
B17	C25	0.0577623265039874	no	#4A74A9
B17	C38	-0.0320422370689666	no	#B64539
B17	C50	0.0383149641430864	no	#4A74A9
B17	C53	0.0750362391091646	no	#4A74A9
B17	C56	-0.030998662029126	no	#B64539
B17	C64	0.0505609789866532	no	#4A74A9
B17	C67	-0.0429403143181826	no	#B64539
B17	C71	0.0330892102934476	no	#4A74A9
B17	C73	-0.0165190237335379	no	#B64539
B17	C91	-0.0313491667611861	no	#B64539
B17	C92	0.045911151687846	no	#4A74A9
B17	D45	-0.031064372033562	no	#B64539
B17	D46	-0.0854857964631368	no	#B64539
B17	D47	-0.0551961916437922	no	#B64539
B17	D56	0.0296563755763871	no	#4A74A9
B17	D57	0.033245898170794	no	#4A74A9
B17	D72	0.0465356681778326	no	#4A74A9
B17	D75	-0.0165779537538301	no	#B64539
B17	D82	-0.036048774046166	no	#B64539
B17	D86	0.032690929672003	no	#4A74A9
B17	E10	-0.0483362422253083	no	#B64539
B17	E11	0.0573093954062046	no	#4A74A9
B17	E88	0.077407118251505	no	#4A74A9
B17	F17	-0.0416494830106076	no	#B64539
B17	F31	-0.0080618970329648	no	#B64539
B17	G10	-0.0667633334122849	no	#B64539
B17	G12	0.0542311026059583	no	#4A74A9
B17	I21	-0.0660641660969836	no	#B64539
B17	I42	0.0279762089139406	no	#4A74A9
B17	I63	-0.0165162869230523	no	#B64539
B17	I73	0.0168395548620514	no	#4A74A9
B17	J32	-0.0303063718627349	no	#B64539
B17	J45	0.0603901233009997	no	#4A74A9
B17	J84	-0.0176429489675297	no	#B64539
B17	K12	0.023091015190904	no	#4A74A9
B17	L20	-0.0213202790695863	no	#B64539
B17	M32	-0.0888738548393939	no	#B64539
B17	M35	0.122391630606536	no	#4A74A9
B17	M47	-0.0422888850191475	no	#B64539
B17	M60	0.0184891502407915	no	#4A74A9
B17	N19	-0.0781767138065874	no	#B64539
B17	N80	-0.0991974306440294	no	#B64539
B17	Q82	0.0596648855625941	no	#4A74A9
B17	Q87	0.0114051003819464	no	#4A74A9
B17	Q96	-0.0843528929266057	no	#B64539
B17	R65	-0.0347576949045698	no	#B64539
B17	T86	0.0240746213058786	no	#4A74A9
B44	C11	-0.0887148507981683	no	#B64539
B44	C14	0.0673135229122705	no	#4A74A9
B44	C22	-0.08952665355086	no	#B64539
B44	C25	0.0388929558216403	no	#4A74A9
B44	C53	-0.0274747986672339	no	#B64539
B44	C56	0.0667241424095824	no	#4A74A9
B44	C64	0.0660639114764869	no	#4A74A9
B44	C67	0.0768665958807038	no	#4A74A9
B44	C73	0.109478436529236	no	#4A74A9
B44	C91	-0.0494597913925551	no	#B64539
B44	C92	-0.0620445779346547	no	#B64539
B44	D45	0.0590190101309213	no	#4A74A9
B44	D46	-0.0227541413482151	no	#B64539
B44	D47	0.0513794821874949	no	#4A74A9
B44	D57	-0.0298860612817949	no	#B64539
B44	D72	-0.0394657423713646	no	#B64539
B44	D75	-0.041654660735031	no	#B64539
B44	D82	0.25527192914346	no	#4A74A9
B44	D86	0.105615378122318	no	#4A74A9
B44	E10	0.0978410942495099	no	#4A74A9
B44	E88	-0.0240164437171806	no	#B64539
B44	F17	0.0861813283701352	no	#4A74A9
B44	F20	0.0550034089015124	no	#4A74A9
B44	F31	0.0228301709454291	no	#4A74A9
B44	G10	0.0516154330746165	no	#4A74A9
B44	G12	-0.053572594662971	no	#B64539
B44	G30	0.0862496574596402	no	#4A74A9
B44	G35	0.0311615103909804	no	#4A74A9
B44	I21	0.0875290910514465	no	#4A74A9
