Disease1	Disease2	weight	comorbid	colors
A71	A90	0.398423307078851	no	#4A74A9
A71	B17	-0.361516768788904	no	#B64539
A71	B19	0.580316821213094	no	#4A74A9
A71	C11	0.502995940158792	no	#4A74A9
A71	C14	0.449950803345898	no	#4A74A9
A71	C15	0.41863946256046	no	#4A74A9
A71	C22	-0.121182052281719	no	#B64539
A71	C25	0.0180787043742578	no	#4A74A9
A71	C34	0.0892203236842292	no	#4A74A9
A71	C38	0.164756200784037	no	#4A74A9
A71	C49	0.144375789421812	no	#4A74A9
A71	C64	0.256837925724669	no	#4A74A9
A71	C67	0.710709787777716	no	#4A74A9
A71	C73	0.560194853169742	no	#4A74A9
A71	C82	-0.565422920789354	no	#B64539
A71	D46	-0.454272677223846	no	#B64539
A71	D75	-0.281746814539876	no	#B64539
A71	D82	0.25339289438578	no	#4A74A9
A71	F20	0.450970069086363	no	#4A74A9
A71	G20	0.427565207289965	no	#4A74A9
A71	G30	0.173672570190142	no	#4A74A9
A71	G71	0.305983560844772	no	#4A74A9
A71	I42	-0.215874773237507	no	#B64539
A71	I63	0.21878290075796	no	#4A74A9
A71	J84	-0.297250148632903	no	#B64539
A71	K12	0.63993201597975	no	#4A74A9
A71	K13	0.321761435899432	no	#4A74A9
A71	K58	0.823951485024975	no	#4A74A9
A71	L40	0.481943626281449	no	#4A74A9
A71	L70	0.626979776779332	no	#4A74A9
A71	L71	0.627590686130069	no	#4A74A9
A71	N02	0.15329272776774	no	#4A74A9
A71	Q98	0.0606366568679738	no	#4A74A9
A71	R65	0.320176994358763	no	#4A74A9
A90	B17	-0.41828936455506	no	#B64539
A90	B19	0.293887577112534	no	#4A74A9
A90	C11	0.610938960171501	no	#4A74A9
A90	C14	0.410802500320583	no	#4A74A9
A90	C15	0.46378183461047	no	#4A74A9
A90	C16	0.0308911100737004	no	#4A74A9
A90	C25	0.160317276493643	no	#4A74A9
A90	C34	0.217066399049875	no	#4A74A9
A90	C49	0.31336560904358	no	#4A74A9
A90	C64	0.127629111425516	no	#4A74A9
A90	C67	0.531171660532983	no	#4A74A9
A90	C71	0.250852588769012	no	#4A74A9
A90	C73	0.379603043774674	no	#4A74A9
A90	C84	0.479880511171867	no	#4A74A9
A90	C93	0.68438104845321	no	#4A74A9
A90	D45	0.493342507429417	no	#4A74A9
A90	D46	0.650575527629608	no	#4A74A9
A90	D47	0.813052615113247	no	#4A74A9
A90	D72	0.800320344154719	no	#4A74A9
A90	D75	0.567204955753944	no	#4A74A9
A90	D82	0.179497354178956	no	#4A74A9
A90	E10	-0.649814641894488	no	#B64539
A90	F20	0.375774812900462	no	#4A74A9
A90	G31	0.668718895939903	no	#4A74A9
A90	G71	0.358333017121465	no	#4A74A9
A90	I42	-0.297029706688079	no	#B64539
A90	J84	-0.314185460421647	no	#B64539
A90	K12	0.458225766775758	no	#4A74A9
A90	K13	0.28960934997488	no	#4A74A9
A90	L40	0.507844284941013	no	#4A74A9
A90	L70	0.434194426142512	no	#4A74A9
A90	L71	0.425487471701285	no	#4A74A9
A90	R65	0.613405258263841	no	#4A74A9
B17	B19	-0.594017143945295	no	#B64539
B17	C49	0.223019255398468	no	#4A74A9
B17	C74	0.360974525101916	no	#4A74A9
B17	C84	0.41895603778295	no	#4A74A9
B17	D45	-0.121741022297761	no	#B64539
B17	D47	-0.119480967084676	no	#B64539
B17	F17	0.48101844808844	yes	#4A74A9
B17	F20	0.889258550971544	no	#4A74A9
B17	G20	0.709024419322106	no	#4A74A9
B17	G30	0.57544596741627	no	#4A74A9
B17	G71	-0.413175498300384	no	#B64539
B17	J44	0.910263956552054	no	#4A74A9
B17	L40	-0.341113293169221	no	#B64539
B17	L70	-0.427172329218584	no	#B64539
B19	C11	0.221291189596042	no	#4A74A9
B19	C14	0.335558437166528	no	#4A74A9
B19	C15	0.215714171218625	no	#4A74A9
B19	C16	0.188121374892626	no	#4A74A9
B19	C22	0.127588112093658	no	#4A74A9
B19	C25	0.374344364499518	no	#4A74A9
B19	C64	0.358009956939002	no	#4A74A9
B19	C67	0.403652167100419	no	#4A74A9
B19	C73	0.502091079708812	no	#4A74A9
B19	C84	0.250557975957248	no	#4A74A9
B19	C92	-0.351392643205934	no	#B64539
B19	C93	-0.411445816149015	no	#B64539
B19	D45	0.285792091200376	no	#4A74A9
B19	D46	-0.305855991030339	no	#B64539
B19	D47	0.312367875663284	no	#4A74A9
B19	D82	0.322927373508594	no	#4A74A9
B19	F20	0.200241195684058	no	#4A74A9
B19	G30	0.115898642756207	no	#4A74A9
B19	G71	0.463243099755843	no	#4A74A9
B19	I42	-0.347735670386539	no	#B64539
B19	I48	-0.369368869842818	no	#B64539
B19	I63	0.215878383790509	no	#4A74A9
B19	K12	0.515980298531307	no	#4A74A9
B19	K13	0.322476634959459	no	#4A74A9
B19	K58	0.840119539453881	no	#4A74A9
B19	K70	0.417391957276824	yes	#4A74A9
B19	L40	0.225414674311522	no	#4A74A9
B19	L70	0.509730911842001	no	#4A74A9
B19	L71	0.242010413800454	no	#4A74A9
B19	N02	0.387711999210318	no	#4A74A9
B19	N19	0.00519883511349046	no	#4A74A9
B19	R65	0.390988108046164	no	#4A74A9
C11	C14	0.621974531758159	yes	#4A74A9
C11	C15	0.478827169906639	no	#4A74A9
C11	C16	0.484009847418966	no	#4A74A9
C11	C18	0.441968314177538	no	#4A74A9
C11	C22	0.32210883190376	no	#4A74A9
C11	C34	0.593857087125179	no	#4A74A9
C11	C38	0.763963672359271	no	#4A74A9
C11	C49	0.494955496659771	no	#4A74A9
C11	C64	0.38139020128345	no	#4A74A9
C11	C67	0.734184854401769	no	#4A74A9
C11	C71	0.0491216762486348	no	#4A74A9
C11	C73	0.559735729007628	no	#4A74A9
C11	C74	0.630283048727395	no	#4A74A9
C11	C84	0.122466652894367	no	#4A74A9
C11	D45	-0.295681063561164	no	#B64539
