Disease1	Disease2	weight	comorbid	colors
A71	A90	0.212282652764311	no	#4A74A9
A71	B17	-0.0714653445278047	no	#B64539
A71	B44	0.172927003053299	no	#4A74A9
A71	C11	-0.0923539560778767	no	#B64539
A71	C14	0.235639387375455	no	#4A74A9
A71	C22	-0.0975784069978647	no	#B64539
A71	C25	0.0574906200238212	no	#4A74A9
A71	C34	0.0783472933889549	no	#4A74A9
A71	C38	0.227284338552829	no	#4A74A9
A71	C43	0.249086929691783	no	#4A74A9
A71	C50	0.176973414387761	no	#4A74A9
A71	C56	0.124395898341372	no	#4A74A9
A71	C64	0.228113342537009	no	#4A74A9
A71	C67	0.241140294496746	no	#4A74A9
A71	C73	0.421466892880803	no	#4A74A9
A71	C74	0.0936743505571389	no	#4A74A9
A71	C79	0.216398928494182	no	#4A74A9
A71	C92	-0.116980880673319	no	#B64539
A71	D45	-0.0266069509488323	no	#B64539
A71	D47	-0.075209169766468	no	#B64539
A71	D57	-0.10926535155856	no	#B64539
A71	D72	-0.0890498050551237	no	#B64539
A71	D75	-0.184266645142731	no	#B64539
A71	D82	0.253824837794394	no	#4A74A9
A71	D86	0.0369859842443482	no	#4A74A9
A71	E10	0.0652058818446067	no	#4A74A9
A71	E11	-0.0375293767519853	no	#B64539
A71	E88	-0.129119190174919	no	#B64539
A71	F17	0.153286412293256	no	#4A74A9
A71	F20	0.0575711142694071	no	#4A74A9
A71	F31	0.0144747506370154	no	#4A74A9
A71	F33	0.00967594368543292	no	#4A74A9
A71	G10	0.0440292697493844	no	#4A74A9
A71	G12	-0.0533109271429775	no	#B64539
A71	G30	0.0904903200603265	no	#4A74A9
A71	G35	-0.0348386348508235	no	#B64539
A71	I21	0.10581242618928	no	#4A74A9
A71	I42	-0.0918246044174885	no	#B64539
A71	I63	-0.0189503364679385	no	#B64539
A71	I73	0.0713878755547776	no	#4A74A9
A71	J32	0.179644973440298	no	#4A74A9
A71	J44	0.0447555747960267	no	#4A74A9
A71	J45	-0.261173656740447	no	#B64539
A71	J84	0.0545785692410557	no	#4A74A9
A71	K12	0.0991089057876356	no	#4A74A9
A71	K13	0.0971193853206499	no	#4A74A9
A71	K50	0.19918157908954	no	#4A74A9
A71	K51	0.30561692515605	no	#4A74A9
A71	K58	0.344699086424693	no	#4A74A9
A71	L20	0.233605322286166	no	#4A74A9
A71	L40	0.37967501122229	no	#4A74A9
A71	L71	0.295693595712667	no	#4A74A9
A71	M19	0.0521407427444619	no	#4A74A9
A71	M32	0.176230300939858	no	#4A74A9
A71	M35	-0.0522138896644413	no	#B64539
A71	M47	0.0545458907201809	no	#4A74A9
A71	M60	0.213894286348538	no	#4A74A9
A71	N19	0.0968350663785337	no	#4A74A9
A71	N30	0.591501125258131	no	#4A74A9
A71	N80	0.250630209385067	no	#4A74A9
A71	Q82	-0.0516584196960547	no	#B64539
A71	Q96	0.13300811887763	no	#4A74A9
A71	R65	0.242945967413506	no	#4A74A9
A90	B44	0.0758001965582365	no	#4A74A9
A90	C11	0.0650844174413031	no	#4A74A9
A90	C14	0.228751589769932	no	#4A74A9
A90	C16	0.038468386337891	no	#4A74A9
A90	C25	0.0827610408740865	no	#4A74A9
A90	C34	0.134948966506161	no	#4A74A9
A90	C38	0.112463291507547	no	#4A74A9
